track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ms Messi (IRE),R Whearty,0,P W Flynn,17th,2 3/4 l,4,9-7,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Paint The Moon,J Cleary,2,K H Clarke,16th,4 3/4 l,4,8-13,55,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Barrys Rock (IRE),M W Hassett,0,A Mullins,15th,3 1/2 l,10,8-7v,46,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Rockbury Lad,S Coen,7,M O'Callaghan,14th,5 l,6,9-11tp1,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Step To Somewhere,J Kearney,0,D K Weld,13th,3/4 l,4,9-5b,61,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Nita (GER),Sadhbh Tormey,7,D A McLoughlin,12th,4 1/2 l,5,10-3,73,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ranko Express (IRE),A Browne-Souza,7,A Slattery,11th,1/2 l,5,9-6,62,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Breathe Again (IRE),J J G Ryan,0,S Lavery,10th,3/4 l,4,9-9,65,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Takeachancejimmy (IRE),S A Wallace,7,N Slevin,9th,3/4 l,11,9-2,58,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Mayo For Sam (IRE),R Donaghue-Leahy,7,M Flannery,8th,Neck,5,8-9p,51,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Pandion Power (IRE),C Geerdharry,7,J P Murtagh,7th,2 l,4,9-11,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Forlio,W Joyce,0,P W Flynn,6th,3/4 l,6,9-4tp,60,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Loingseoir (IRE),Nicola Burns,7,M C Grassick,5th,1 1/2 l,9,9-13t,69,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Migdam (FR),J A Powell,0,A McGuinness,4th,1/2 l,6,9-13v,69,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Alto Sax (IRE),K G Kennedy,2,Peter Fahey,3rd,6 l,4,9-7b,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Si Senior (IRE),J Pietropaolo,7,P Magee,2nd,2 1/4 l,4,9-3ht,59,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Solomon Coop (IRE),Orla Tynan,7,M J Tynan,1st,N/A,4,9-10,66,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ms Messi (IRE),R Whearty,0,P W Flynn,17th,2 3/4 l,4,9-7,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Paint The Moon,J Cleary,2,K H Clarke,16th,4 3/4 l,4,8-13,55,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Barrys Rock (IRE),M W Hassett,0,A Mullins,15th,3 1/2 l,10,8-7v,46,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Rockbury Lad,S Coen,7,M O'Callaghan,14th,5 l,6,9-11tp1,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Step To Somewhere,J Kearney,0,D K Weld,13th,3/4 l,4,9-5b,61,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Nita (GER),Sadhbh Tormey,7,D A McLoughlin,12th,4 1/2 l,5,10-3,73,True,178,1
