track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Kasper Hauser,R C Colgan,0,Kevin Coleman,NR,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Man Of Destiny (IRE),N M Crosse,0,Aidan Melia,11th,16 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Lauderdale King (IRE),Julie Burke,0,J M Burke,10th,Nose,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Rising King (IRE),I Khan,7,A Mullins,9th,3 1/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Show Your Workings (IRE),S P Davis,0,Sean Davis,8th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Solar Energy (IRE),R Coakley,0,J S Bolger,7th,3 3/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Skib Gold,P A Harnett,5,M J Byrne,6th,9 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Sigliosa,J A Heffernan,0,J J Murphy,5th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Tashir (IRE),B M Coen,0,J P Murtagh,4th,Short Head,3,9-8,78,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Ben Lawers,S Foley,0,Mrs J Harrington,3rd,6 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Game Point (IRE),C T Keane,0,G M Lyons,2nd,2 1/2 l,3,9-8,88,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Maestro Mark (IRE),G F Carroll,0,J J Murphy,1st,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Kasper Hauser,R C Colgan,0,Kevin Coleman,NR,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Man Of Destiny (IRE),N M Crosse,0,Aidan Melia,11th,16 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Lauderdale King (IRE),Julie Burke,0,J M Burke,10th,Nose,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Rising King (IRE),I Khan,7,A Mullins,9th,3 1/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Show Your Workings (IRE),S P Davis,0,Sean Davis,8th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Solar Energy (IRE),R Coakley,0,J S Bolger,7th,3 3/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Skib Gold,P A Harnett,5,M J Byrne,6th,9 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Sigliosa,J A Heffernan,0,J J Murphy,5th,5 1/2 l,3,9-8,-,True,179,1
