track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Stanhope,K G Kennedy,5,J C McConnell,13th,2 3/4 l,11,8-7,48,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Realtin Fantasy (IRE),M W Hassett,5,W P Browne,12th,1/2 l,9,8-8,50,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,11th,1/2 l,7,8-13v,55,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Dark Enigma,W Joyce,3,J G Murray,10th,Short Head,4,8-7tp1,41,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Surpass And Shine (IRE),W J Lee,0,P J Flynn,9th,3/4 l,4,9-12,68,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,An Laochmor (IRE),L F Roche,0,J G Coogan,8th,1 l,4,8-8b1,50,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Irish Rumour (IRE),R C Colgan,0,Miss Jennifer Anne Lynch,7th,3/4 l,5,9-11t,67,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,My Girl Sioux (IRE),A J Slattery,0,A Slattery,6th,Head,5,9-3,59,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Rappell (IRE),J M Sheridan,0,P W Flynn,5th,1/2 l,4,10-2,72,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Nouvel Espoir (IRE),S A Wallace,10,J Barcoe,4th,Neck,5,9-9,65,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Asdana (IRE),N M Crosse,0,W McCreery,3rd,1 1/2 l,3,9-7v,70,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Whatswrongnow (IRE),R M Mulligan,7,Batt Burke,2nd,1 3/4 l,4,8-7,43,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Step Back In Time (IRE),R P Cleary,0,C Timmons,1st,N/A,7,8-7p,48,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Stanhope,K G Kennedy,5,J C McConnell,13th,2 3/4 l,11,8-7,48,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Realtin Fantasy (IRE),M W Hassett,5,W P Browne,12th,1/2 l,9,8-8,50,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,11th,1/2 l,7,8-13v,55,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Dark Enigma,W Joyce,3,J G Murray,10th,Short Head,4,8-7tp1,41,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Surpass And Shine (IRE),W J Lee,0,P J Flynn,9th,3/4 l,4,9-12,68,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,An Laochmor (IRE),L F Roche,0,J G Coogan,8th,1 l,4,8-8b1,50,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Irish Rumour (IRE),R C Colgan,0,Miss Jennifer Anne Lynch,7th,3/4 l,5,9-11t,67,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,My Girl Sioux (IRE),A J Slattery,0,A Slattery,6th,Head,5,9-3,59,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Rappell (IRE),J M Sheridan,0,P W Flynn,5th,1/2 l,4,10-2,72,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Nouvel Espoir (IRE),S A Wallace,10,J Barcoe,4th,Neck,5,9-9,65,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Asdana (IRE),N M Crosse,0,W McCreery,3rd,1 1/2 l,3,9-7v,70,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Whatswrongnow (IRE),R M Mulligan,7,Batt Burke,2nd,1 3/4 l,4,8-7,43,True,180,26
Navan Racing Results | 7th June 2025 15:15,N/A,15:15,Yielding (Good In Places),5f,Step Back In Time (IRE),R P Cleary,0,C Timmons,1st,N/A,7,8-7p,48,True,180,26
Navan Racing Results | 7th June 2025 15:55,N/A,15:55,Yielding (Good In Places),1m 30y,Quadruple,J J G Ryan,0,G M Lyons,12th,3 3/4 l,4,9-9,87,True,180,27
Navan Racing Results | 7th June 2025 15:55,N/A,15:55,Yielding (Good In Places),1m 30y,Evening Blossom (IRE),D P McDonogh,0,J P O'Brien,11th,3/4 l,4,9-9t,93,True,180,27
Navan Racing Results | 7th June 2025 15:55,N/A,15:55,Yielding (Good In Places),1m 30y,Banner Beauty (IRE),R Whearty,0,E Buckley,10th,3/4 l,3,8-12,-,True,180,27
Navan Racing Results | 7th June 2025 15:55,N/A,15:55,Yielding (Good In Places),1m 30y,Spicy Margarita (IRE),J M Sheridan,0,A Murray,9th,1 1/4 l,3,8-12,96,True,180,27
Navan Racing Results | 7th June 2025 15:55,N/A,15:55,Yielding (Good In Places),1m 30y,Princess Child (FR),R P Whelan,0,J P O'Brien,8th,Nose,4,9-9t,93,True,180,27
