track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,URL,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,edge,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification,action
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:08,unionville,74,William Carson,Michael Attwater,9- 6,3,0,True,0,0.14484623,2,True,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,16/1,14/1,16/1,14/1,,shortening,15.0,17.0,15.0,,17.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1459926127655349,17.0,0.0871690833537702,1.4818744170140934,36.032164467410546,0.24686881073837172,0.09261715106338084,0.05,5.0,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,conquest of power,73,Paddy Bradley,Mark Usher,9- 4,6,0,True,0,0.046718862,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,25/1,20/1,,,,shortening,21.0,,,,26.0,0.1,0.1563100576553491,0.7270560190703218,,,0.057677981565534914,26.0,0.01921644310399645,0.4996275207039078,36.741432837449054,0.08242677496287833,0.019985100828156313,0.019985100828156313,1.9985100828156313,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,lion city,57,Ben Ffrench Davis,Clare Ellam,9- 6,6,5,True,0,0.044494003,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,100/1,,,,,no_data,,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.05567560846553492,101.0,0.045774618366525015,4.623236455019026,536.3260937278667,0.19963268246080987,0.046232364550190266,0.046232364550190266,4.623236455019026,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:08,canyouhearthedrums,80,Charles Bishop,Eve Johnson Houghton,9- 1,3,0,True,0,0.041523606,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,9/1,17/2,8/1,9/1,8/1,shortening,9.5,9.0,10.0,9.0,10.0,0.1,0.1563100576553491,0.7270560190703218,,,0.053002251165534905,10.0,-0.0469977488344651,-0.4699774883446509,5.0193012536920465,-0.20977581873242554,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,smasher,67,William Carson,Michael Attwater,9- 7,6,0,True,0,0.038793914,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,9/2,7/2,,,,shortening,4.5,,,,5.5,0.1,0.1563100576553491,0.7270560190703218,,,0.050545528365534914,5.5,-0.1312726534526469,-0.721999593989558,1.4517180073154605,-0.599233136973757,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,horus,64,Hollie Doyle,Mike Murphy,9- 6,4,0,True,0,0.03852484,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,9/1,10/1,,,,drifting,11.0,,,,10.0,0.1,0.1563100576553491,0.7270560190703218,,,0.05030336176553492,10.0,-0.04969663823446509,-0.49696638234465085,4.777293356062064,-0.2273715153912024,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,dr ali,63,Jonny Peate,J R Jenkins,9- 2,4,0,True,0,0.035546515,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,7/1,,,,,no_data,,,,,8.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04762286926553491,8.0,-0.07737713073446509,-0.6190170458757207,2.9027156216609713,-0.3633292507507567,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,five moons,48,Harry Davies,Simon & Ed Crisford,9- 2,3,0,True,0,0.035339184,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,16/1,14/1,,,,shortening,15.0,,,,17.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04743627136553491,17.0,-0.011387258046229795,-0.19358338678590647,13.0587746705719,-0.053569410788315064,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,respectable jack,68,Saffie Osborne,Matt Crawley,9- 9,5,0,True,0,0.031911477,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,3/1,10/3,,,,drifting,4.333333333333334,,,,4.0,0.1,0.1563100576553491,0.7270560190703218,,,0.044351335065534916,4.0,-0.2056486649344651,-0.8225946597378604,0.6781487062950329,-0.9989032288923426,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,peas and queues,48,Kieran O'Neill,J S Moore,9- 2,3,0,True,0,0.0312803,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,66/1,,,,,no_data,,,,,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04378327576553491,67.0,0.02885790263120655,1.933479476290839,187.9378230736666,0.14103680804803198,0.029295143580164225,0.029295143580164225,2.9295143580164225,STRONG_BET_SINGLE,STRONG BET
