track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,URL,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,race_id,threshold,precision,recall,f1,pred_plus,p_est,d,edge,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification,action
down royal,20 Jan 2026,2m½f,Yielding,2:50,sky lord,131,Darragh O'Keeffe,Henry De Bromhead,12- 0,7,0,True,0,0.19032162,0,False,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911836,5/2,11/4,3/1,11/4,3/1,drifting,3.75,4.0,3.75,4.0,3.5,down royal_2:50,0.15,0.181509754028838,0.5101311084624554,,,0.1894404334028838,3.5,-0.0962738523114019,-0.3369584830899067,1.881021256038889,-0.2456855096145728,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,microscope,-,Eoin Staples,Peter Buchanan,11- 4,7,5,True,0,0.116860256,1,True,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,200/1,100/1,,,,shortening,101.0,,,,201.0,down royal_12:50,0.1,0.1563100576553491,0.7270560190703218,,,0.12080523616553492,201.0,0.11583011178742546,23.28185246927252,4291.04398698426,0.3554152428708056,0.11640926234636259,0.05,5.0,STRONG_BET_SINGLE,STRONG BET
down royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,whinney hill,128,Jack Kennedy,Gordon Elliott,11 -12,6,0,True,0,0.08137611,2,True,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,7/2,4/1,7/2,15/4,4/1,drifting,5.0,4.5,4.75,5.0,4.5,down royal_12:50,0.1,0.1563100576553491,0.7270560190703218,,,0.08886950476553492,4.5,-0.1333527174566873,-0.6000872285550929,1.6396772467373357,-0.46863551590799046,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m1f,Yielding To Soft,1:20,night moon,108,Paul Townend,W P Mullins,11- 4,6,0,True,0,0.07659142,0,False,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,5/1,11/2,6/1,11/2,6/1,drifting,6.5,7.0,6.5,7.0,6.0,down royal_1:20,0.1,0.1563100576553491,0.7270560190703218,,,0.08456328376553492,6.0,-0.08210338290113174,-0.4926202974067905,2.7868440529556833,-0.2950910030239502,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m1f,Yielding To Soft,1:20,spinola bay,121,Jack Kennedy,Gordon Elliott,11- 7,6,0,True,0,0.07643661,3,True,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,9/4,2/1,11/5,9/4,5/2,drifting,3.0,3.2,3.25,3.5,3.25,down royal_1:20,0.1,0.1563100576553491,0.7270560190703218,,,0.08442395476553492,3.25,-0.22326835292677277,-0.7256221470120114,0.8164448160006643,-0.8030583675158465,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,boedic,116,Paul Townend,W P Mullins,11- 4,5,0,True,0,0.07005816,0,False,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,7/2,11/4,5/2,9/4,2/1,shortening,3.75,3.5,3.25,3.0,4.5,down royal_12:50,0.1,0.1563100576553491,0.7270560190703218,,,0.07868334976553491,4.5,-0.14353887245668728,-0.6459249260550929,1.4679686747629905,-0.53311837309627,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m4½f,Yielding,3:20,harley street,-,Caragh Monaghan,Ian Patrick Donoghue,11- 5,7,7,True,0,0.056341425,0,False,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911837,16/1,18/1,20/1,33/1,18/1,drifting,19.0,21.0,34.0,19.0,17.0,down royal_3:20,0.1,0.1563100576553491,0.7270560190703218,,,0.06633828826553491,17.0,0.007514758853770204,0.12775090051409355,17.89994321512924,0.03019521619944519,0.007984431282130847,0.007984431282130847,0.7984431282130846,STRONG_BET_SINGLE,STRONG BET
down royal,20 Jan 2026,2m4½f,Yielding,3:20,shanroe act,-,Daniel King,Karl Thornton,10- 4,8,0,True,0,0.043718994,0,False,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911837,13/8,6/4,13/8,7/4,13/8,stable,2.5,2.625,2.75,2.625,2.625,down royal_3:20,0.1,0.1563100576553491,0.7270560190703218,,,0.05497810036553491,2.625,-0.325974280586846,-0.8556824865404709,0.35800592814012255,-1.4301037130416576,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m4½f,Yielding,3:20,warm in gorey,104,Tiernan Power Roche,P J Rothwell,11- 9,8,3,True,0,0.03867395,0,False,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911837,18/1,20/1,22/1,20/1,14/1,shortening,21.0,23.0,21.0,15.0,19.0,down royal_3:20,0.1,0.1563100576553491,0.7270560190703218,,,0.05043756076553492,19.0,-0.0021940181818334986,-0.041686345454836515,17.2895943758704,-0.010025393340340489,0.0,0.0,0.0,NO_BET,PASS
down royal,20 Jan 2026,2m1f,Yielding To Soft,2:20,i feel fine,97,Daniel King,M A Molloy,11- 7,6,0,True,0,0.03755418,3,True,https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,6/1,11/2,5/1,11/2,6/1,stable,6.5,6.0,6.5,7.0,7.0,down royal_2:20,0.1,0.1563100576553491,0.7270560190703218,,,0.04942976776553491,7.0,-0.09342737509160794,-0.6539916256412557,2.3023368253848298,-0.43101040763373616,0.0,0.0,0.0,NO_BET,PASS
