track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability,actual_position,Race_id,inferred_position
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Berto Ramirez,110,Brian Hayes,Andrew McNamara,11- 0,4,0,True,0.05357089,,Fairyhouse_2026-01-10_12:00,1
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,It's Bobsled Time,118,Michael Kenneally,Richard Morrissey,11- 0,4,7,True,0.028140433,,Fairyhouse_2026-01-10_12:00,2
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Macho Man,122,Paul Townend,W P Mullins,11- 5,4,0,True,0.013340943,,Fairyhouse_2026-01-10_12:00,3
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Munsif,116,Philip Byrnes,C Byrnes,11- 0,4,0,True,0.012956847,,Fairyhouse_2026-01-10_12:00,4
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Proactif,103,Mark Walsh,W P Mullins,11- 5,4,0,True,0.009989827,,Fairyhouse_2026-01-10_12:00,5
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Quinta Do Lago,119,Jack Kennedy,Mrs John Harrington,11- 5,4,0,True,0.009972134,,Fairyhouse_2026-01-10_12:00,6
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,In My Teens,120,Simon Torrens,Gavin Cromwell,10- 7,4,0,True,0.009972134,,Fairyhouse_2026-01-10_12:00,7
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Far Eclipse,93,Kieren Buckley,Gavin Cromwell,11- 0,4,0,True,0.009395972,,Fairyhouse_2026-01-10_12:00,8
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Combs,122,Kevin Healy,Gordon Elliott,11- 0,4,7,True,0.009036645,,Fairyhouse_2026-01-10_12:00,9
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Tellmemamema,94,Kieren Buckley,Edward Buckley,11- 7,6,0,True,0.060041197,,Fairyhouse_2026-01-10_12:30,1
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Castlerock Lady,-,Alix Balfe,Patrick Downey,11- 7,7,7,True,0.052317046,,Fairyhouse_2026-01-10_12:30,2
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Family Getaway,69,Jack Kennedy,Gordon Elliott,11- 7,5,0,True,0.048650723,,Fairyhouse_2026-01-10_12:30,3
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Talas Kera,98,Patrick M O'Brien,John G Carr,11- 7,5,5,True,0.044589125,,Fairyhouse_2026-01-10_12:30,4
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Susie Lenglen,107,Sam Ewing,Noel Meade,11- 7,5,0,True,0.03827002,,Fairyhouse_2026-01-10_12:30,5
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Whispering Hopes,117,Mr E P Powell,Liam Lennon,11- 7,6,7,True,0.03637302,,Fairyhouse_2026-01-10_12:30,6
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Alliteration,-,Keith Donoghue,J P Dempsey,11- 7,5,0,True,0.034501288,,Fairyhouse_2026-01-10_12:30,7
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Miss Doyenne,119,Darragh O'Keeffe,Henry De Bromhead,11- 7,6,0,True,0.03266933,,Fairyhouse_2026-01-10_12:30,8
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Ode To Joy,-,Liam McKenna,William J McLernon,11- 7,6,5,True,0.028105505,,Fairyhouse_2026-01-10_12:30,9
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Little Ivy,92,Danny Gilligan,Peter Fahey,11- 7,6,0,True,0.024505917,,Fairyhouse_2026-01-10_12:30,10
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Bambino Fever,132,Paul Townend,W P Mullins,11- 7,6,0,True,0.02314666,,Fairyhouse_2026-01-10_12:30,11
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Miss Georgina,103,John Shinnick,Andrew Lee,11- 7,6,3,True,0.021507654,,Fairyhouse_2026-01-10_12:30,12
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Annie's Belle,-,James Smith,Ms Claire O'Connell,11- 7,5,5,True,0.017773172,,Fairyhouse_2026-01-10_12:30,13
