track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,actual_position,Race_id,inferred_position,horse_name_norm,kelly_stake,decimal_odds,edge,ev,action,bet_roi,was_bet
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,What What What,65,Lewis Chalkley,Michael & David Easterby,9- 8,4,7,True,0,0.0413435,3,Chelmsford (AW)_2026-01-11_1:42,1,what what what,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Master Dandy,65,Taylor Fisher,Michael Keady,9- 8,6,3,True,0,0.04042849,4,Chelmsford (AW)_2026-01-11_1:42,2,master dandy,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Forest Gunner,64,J F Egan,David Evans,9- 3,5,0,True,0,0.03551501,5,Chelmsford (AW)_2026-01-11_1:42,3,forest gunner,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Sir Rodneyredblood,66,Liam Wright,J R Jenkins,9 -11,9,5,True,0,0.035263635,2,Chelmsford (AW)_2026-01-11_1:42,4,sir rodneyredblood,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Second Collection,63,Matthew Lloyd Slater,Tony Carroll,9- 0,10,7,True,0,0.033055086,,Chelmsford (AW)_2026-01-11_1:42,5,second collection,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Inconspicuous,63,Kyle McHugh,Stuart Edmunds,9- 0,4,7,True,0,0.028126001,6,Chelmsford (AW)_2026-01-11_1:42,6,inconspicuous,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Gogo Yubari,67,Harry Vigors,Tony Carroll,10- 5,5,7,True,0,0.021267895,1,Chelmsford (AW)_2026-01-11_1:42,7,gogo yubari,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Man On A Mission,83,Tyler Heard,P Charalambous & J Clutterbuck,8- 5,7,0,True,0,0.02730723,10,Chelmsford (AW)_2026-01-11_2:12,1,man on a mission,0.5205652883333334,151.0,0.0206847134437086,3.12339173,BET,-0.5205652883333334,True
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Bill Plumb,84,Grace McEntee,Phil McEntee,9- 5,7,0,True,0,0.02665349,6,Chelmsford (AW)_2026-01-11_2:12,2,bill plumb,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Lady Wingalong,87,Ryan Kavanagh,David Evans,9- 9,7,5,True,0,0.025200656,4,Chelmsford (AW)_2026-01-11_2:12,3,lady wingalong,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Ziggy's Condor,86,Harry Russell,Richard Fahey,9- 8,5,0,True,0,0.020475952,3,Chelmsford (AW)_2026-01-11_2:12,4,ziggy's condor,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Waistcoat,85,Rhys Clutterbuck,Ross Burdon,9- 3,5,0,True,0,0.020329453,1,Chelmsford (AW)_2026-01-11_2:12,5,waistcoat,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Ziggy's Queen,84,Ethan Tindall,Richard Fahey,9- 5,5,7,True,0,0.020195426,2,Chelmsford (AW)_2026-01-11_2:12,6,ziggy's queen,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Correspondence,82,Gina Mangan,Tony Carroll,9- 2,4,0,True,0,0.019353705,8,Chelmsford (AW)_2026-01-11_2:12,7,correspondence,0.2386810512499999,101.0,0.0294527149009901,0.9547242049999998,BET,-0.2386810512499999,True
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Atomic Mass,84,Tom Kiely-Marshall,Michael & David Easterby,8- 6,4,5,True,0,0.019128425,7,Chelmsford (AW)_2026-01-11_2:12,8,atomic mass,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Middleton View,85,Harry Vigors,Stuart Williams,9- 8,4,7,True,0,0.018438764,9,Chelmsford (AW)_2026-01-11_2:12,9,middleton view,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Em Four,86,Conor Whiteley,Jamie Osborne,9- 8,4,7,True,0,0.018438764,5,Chelmsford (AW)_2026-01-11_2:12,10,em four,0.215578791,101.0,0.02853777390099,0.862315164,BET,-0.215578791,True
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Three On Thursday,72,Gina Mangan,Tony Carroll,9- 7,4,0,True,0,0.03817095,3,Chelmsford (AW)_2026-01-11_2:42,1,three on thursday,0.473359225,51.0,0.0385631068627451,0.94671845,BET,-0.473359225,True
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Twilight Guest,71,Harry Vigors,George Margarson,9- 4,6,7,True,0,0.03625767,5,Chelmsford (AW)_2026-01-11_2:42,2,twilight guest,0.6655061674999999,101.0,0.0463566799009901,2.66202467,BET,-0.6655061674999999,True
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Enthused,76,Jonny Peate,James Owen,9- 9,9,0,True,0,0.03286171,2,Chelmsford (AW)_2026-01-11_2:42,3,enthused,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Seraphic,75,Callum Hutchinson,David Killahena & Graeme McPherson,9- 8,6,0,True,0,0.03093603,1,Chelmsford (AW)_2026-01-11_2:42,4,seraphic,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Age Of Time,74,Nicola Currie,Ian Williams,9- 9,5,0,True,0,0.028883122,4,Chelmsford (AW)_2026-01-11_2:42,5,age of time,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Come To Pass,47,Gina Mangan,Tony Carroll,9- 9,7,0,True,0,0.075164534,4,Chelmsford (AW)_2026-01-11_3:12,1,come to pass,0.828163956818182,23.0,0.0116862731304347,0.7287842820000001,BET,-0.828163956818182,True
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Mary Rose,49,Tyler Heard,Stephanie Cassidy,9- 8,4,0,True,0,0.05911324,7,Chelmsford (AW)_2026-01-11_3:12,2,mary rose,1.1838038875,81.0,0.0667675609876543,3.78817244,BET,-1.1838038875,True
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Marinakis,60,Ryan Kavanagh,Ian Williams,9- 9,6,5,True,0,0.05755553,1,Chelmsford (AW)_2026-01-11_3:12,3,marinakis,,,,,,0.0,False
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Sun Festival,53,Zacharia Clarke,Joseph Parr,9- 9,8,7,True,0,0.05734102,8,Chelmsford (AW)_2026-01-11_3:12,4,sun festival,1.197860755,101.0,0.0674400299009901,4.79144302,BET,-1.197860755,True
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Spaceage Love Song,54,Joe Bradnam,Michael Bell,9- 8,4,7,True,0,0.056684263,3,Chelmsford (AW)_2026-01-11_3:12,5,spaceage love song,,,,,,0.0,False
