track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,actual_position,Race_id,inferred_position,horse_name_norm,kelly_stake,odds_live,edge,ev,action,bet_roi,was_bet
Fakenham,18 Jan 2026,2m,Good To Soft,12:30,Lord Of The Glance,89,Luke Scott,Alex Hales,10- 6,7,0,True,0,0.00962199,0,False,2,Fakenham_2026-01-18_12:30,1,lord of the glance,,,,,,0.0,False
Fakenham,18 Jan 2026,2m,Good To Soft,12:30,Lusso Milan,98,Tristan Durrell,Shaun Lycett,10 -10,7,0,True,0,0.008361771,0,False,F,Fakenham_2026-01-18_12:30,2,lusso milan,,,,,,0.0,False
Fakenham,18 Jan 2026,2m,Good To Soft,12:30,Castle Quarter,96,Bradley Harris,Neil Mulholland,11- 9,10,3,True,0,0.007077688,0,False,PU,Fakenham_2026-01-18_12:30,3,castle quarter,,,,,,0.0,False
Fakenham,18 Jan 2026,2m,Good To Soft,12:30,Path Of Stars,97,Ben Smith,Seamus Mullins,10- 5,5,3,True,0,0.0067323893,0,False,3,Fakenham_2026-01-18_12:30,4,path of stars,,,,,,0.0,False
Fakenham,18 Jan 2026,2m,Good To Soft,12:30,Belcamo,98,Toby McCain-Mitchell,Alex Hales,11 -12,5,0,True,0,0.006350628,0,False,1,Fakenham_2026-01-18_12:30,5,belcamo,,,,,,0.0,False
Fakenham,18 Jan 2026,2m7½f,Good To Soft,1:00,Apieceovfortune,96,Paul O'Brien,Pam Sly,11- 2,6,0,True,0,0.020779131,0,False,1,Fakenham_2026-01-18_1:00,1,apieceovfortune,,,,,,0.0,False
Fakenham,18 Jan 2026,2m7½f,Good To Soft,1:00,Castanea Breeze,101,Tom Cannon,Lucy Wadham,11- 5,6,0,True,0,0.017684743,0,False,,Fakenham_2026-01-18_1:00,2,castanea breeze,,,,,,0.0,False
Fakenham,18 Jan 2026,2m7½f,Good To Soft,1:00,Lelantos,99,Robert Dunne,Nicky Henderson,12- 0,10,0,True,0,0.014872225,0,False,3,Fakenham_2026-01-18_1:00,3,lelantos,,,,,,0.0,False
Fakenham,18 Jan 2026,2m7½f,Good To Soft,1:00,Getaway With You,103,Nick Slatter,David Killahena & Graeme McPherson,11 -10,8,3,True,0,0.014414438,0,False,2,Fakenham_2026-01-18_1:00,4,getaway with you,,,,,,0.0,False
Fakenham,18 Jan 2026,2m7½f,Good To Soft,1:00,Jack The Savage,110,Isabelle Ryder,Laura Horsfall,11- 4,9,7,True,0,0.014370403,0,False,4,Fakenham_2026-01-18_1:00,5,jack the savage,,,,,,0.0,False
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,Clay Pigeons,-,Mr P W Mullins,W P Mullins,11- 8,6,0,True,0,0.1783884,0,False,2,Fakenham_2026-01-18_1:30,1,clay pigeons,,,,,,0.0,False
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,Lawsky,61,Alex Chadwick,James Owen,11- 8,6,3,True,0,0.022512285,0,False,5,Fakenham_2026-01-18_1:30,2,lawsky,1.6609903510845614,50/1,0.01628421912828,0.8304951755422807,STRONG BET,-1.6609903510845614,True
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,Kampari,-,Kevin Brogan,Laura Horsfall,11- 8,6,0,True,0,0.021264153,0,False,6,Fakenham_2026-01-18_1:30,3,kampari,2.994258718286259,200/1,0.0297936190874254,5.988517436572518,STRONG BET,-2.994258718286259,True
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,Callmesusie,-,Charlie Hammond,Louise Allan,11- 1,8,0,True,0,0.019379504,0,False,7,Fakenham_2026-01-18_1:30,4,callmesusie,2.533713984045918,125/1,0.0251360514290269,3.1671424800573984,STRONG BET,-2.533713984045918,True
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,King Jon Oliver,115,Robert Dunne,Olly Murphy,11- 8,6,0,True,0,0.009215568,0,False,1,Fakenham_2026-01-18_1:30,5,king jon oliver,,,,,,0.0,False
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,Masked Mistress,111,Tom Cannon,Jim & Suzi Best,11- 1,5,0,True,0,0.008247814,0,False,4,Fakenham_2026-01-18_1:30,6,masked mistress,,,,,,0.0,False
Fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,Oneinthewell,101,Nathan Howie,James Owen,11- 8,5,3,True,0,0.0077573867,0,False,3,Fakenham_2026-01-18_1:30,7,oneinthewell,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Pretending,123,Tom Cannon,Lucy Wadham,11- 9,7,0,True,0,0.008956461,0,False,PU,Fakenham_2026-01-18_2:05,1,pretending,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Miss Cynthia,122,Tristan Durrell,Dan Skelton,11- 6,6,0,True,0,0.008295705,0,False,1,Fakenham_2026-01-18_2:05,2,miss cynthia,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Mermaids Cave,122,Rian Corcoran,James Owen,12- 0,7,7,True,0,0.008071927,0,False,F,Fakenham_2026-01-18_2:05,3,mermaids cave,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Apples Moon,123,Sean Houlihan,Nicky Martin,11- 2,7,0,True,0,0.0079000415,0,False,3,Fakenham_2026-01-18_2:05,4,apples moon,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Looking As You Are,122,Toby McCain-Mitchell,Alex Hales,11- 7,7,5,True,0,0.007846102,0,False,2,Fakenham_2026-01-18_2:05,5,looking as you are,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Princess Keri,122,Ned Fox,Evan Williams,10- 3,6,5,True,0,0.00739782,0,False,UR,Fakenham_2026-01-18_2:05,6,princess keri,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m4f,Good To Soft,2:05,Audacious Annie,121,Isabelle Ryder,Jamie Snowden,11- 6,7,7,True,0,0.0070941946,0,False,4,Fakenham_2026-01-18_2:05,7,audacious annie,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m5f,Good To Soft,2:40,Belle Montrose,124,Kevin Brogan,Samuel Drinkwater,10- 2,7,0,True,0,0.0097896615,0,False,1,Fakenham_2026-01-18_2:40,1,belle montrose,,,,,,0.0,False
Fakenham,18 Jan 2026 ITV4,2m5f,Good To Soft,2:40,Overabottleofred,123,Robert Dunne,Tom Gretton,10- 7,7,0,True,0,0.008785651,0,False,4,Fakenham_2026-01-18_2:40,2,overabottleofred,,,,,,0.0,False
