track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,actual_position,Race_id,inferred_position,was_bet,bet_roi,kelly_stake,action
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Equion,75,Luke Morris,Tony Carroll,9- 7,8,0,True,0,0.030050283,0,False,5,Kempton (AW)_2026-01-19_1:08,1,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Villalobos,75,Alistair Rawlinson,Simon Hodgson,9- 2,7,0,True,0,0.029795995,0,False,4,Kempton (AW)_2026-01-19_1:08,2,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Hopjes,70,Tyrese Cameron,Harriet Dickin,9- 1,6,7,True,0,0.026867181,0,False,6,Kempton (AW)_2026-01-19_1:08,3,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Super Hit,75,Oisin Murphy,Darryll Holland,9- 8,5,0,True,0,0.022825582,0,False,7,Kempton (AW)_2026-01-19_1:08,4,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Purple Sky,76,Charles Bishop,Joe Ponting,9- 5,5,0,True,0,0.02272231,0,False,8,Kempton (AW)_2026-01-19_1:08,5,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Apache Green,73,Kieran O'Neill,S Woods,9- 9,4,0,True,0,0.0211467,0,False,2,Kempton (AW)_2026-01-19_1:08,6,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Token Gesture,77,Hollie Doyle,Mark Usher,9- 7,4,0,True,0,0.021032657,0,False,1,Kempton (AW)_2026-01-19_1:08,7,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,Mbappe,79,Edward Greatrex,Mark Loughnane,9- 3,5,0,True,0,0.019039946,0,False,3,Kempton (AW)_2026-01-19_1:08,8,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Conquest Of Power,73,Paddy Bradley,Mark Usher,9- 4,6,0,True,0,0.046718862,0,False,6,Kempton (AW)_2026-01-19_1:38,1,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Smasher,67,William Carson,Michael Attwater,9- 7,6,0,True,0,0.038793914,0,False,5,Kempton (AW)_2026-01-19_1:38,2,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Horus,64,Hollie Doyle,Mike Murphy,9- 6,4,0,True,0,0.03852484,0,False,4,Kempton (AW)_2026-01-19_1:38,3,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Dr Ali,63,Jonny Peate,J R Jenkins,9- 2,4,0,True,0,0.035546515,0,False,1,Kempton (AW)_2026-01-19_1:38,4,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Respectable Jack,68,Saffie Osborne,Matt Crawley,9- 9,5,0,True,0,0.031911477,0,False,3,Kempton (AW)_2026-01-19_1:38,5,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Straight Back Up,65,Lloyd Applegate,Dr Richard Newland & Jamie Insole,9- 1,4,7,True,0,0.030549182,0,False,8,Kempton (AW)_2026-01-19_1:38,6,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Miraflores,62,Kieran O'Neill,Rachel Cook & John Bridger,9- 0,4,0,True,0,0.02925614,0,False,7,Kempton (AW)_2026-01-19_1:38,7,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,Magna,64,Oisin Murphy,Tony Carroll,9- 9,4,0,True,0,0.023957921,0,False,2,Kempton (AW)_2026-01-19_1:38,8,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Five Moons,48,Harry Davies,Simon & Ed Crisford,9- 2,3,0,True,0,0.035339184,0,False,4,Kempton (AW)_2026-01-19_2:08,1,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Peas And Queues,48,Kieran O'Neill,J S Moore,9- 2,3,0,True,0,0.0312803,0,False,9,Kempton (AW)_2026-01-19_2:08,2,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Galistra,-,Hector Crouch,Ralph Beckett,9- 2,3,0,True,0,0.030828552,0,False,8,Kempton (AW)_2026-01-19_2:08,3,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Glamerous,-,William Carson,Michael Attwater,9- 2,3,0,True,0,0.03034695,0,False,6,Kempton (AW)_2026-01-19_2:08,4,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Distorted Truth,-,Pierre-Louis Jamin,K R Burke,9- 2,3,0,True,0,0.025331058,0,False,2,Kempton (AW)_2026-01-19_2:08,5,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Echo Valley,-,Callum Hutchinson,Tom Symonds,9- 2,3,0,True,0,0.025331058,0,False,7,Kempton (AW)_2026-01-19_2:08,6,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Al Amirah,67,Sean D Bowen,Ismail Mohammed,9- 2,3,0,True,0,0.024816934,0,False,5,Kempton (AW)_2026-01-19_2:08,7,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Helga,65,Oisin Murphy,Andrew Balding,9- 2,3,0,True,0,0.020651996,0,False,1,Kempton (AW)_2026-01-19_2:08,8,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,Misty Cove,77,Saffie Osborne,Gavin Cromwell,9- 2,3,0,True,0,0.018177003,0,False,3,Kempton (AW)_2026-01-19_2:08,9,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Lion City,57,Ben Ffrench Davis,Clare Ellam,9- 6,6,5,True,0,0.044494003,0,False,10,Kempton (AW)_2026-01-19_2:38,1,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Imperial Jade,-,Callum Hutchinson,Charlie Longsdon,9- 1,7,0,True,0,0.030261064,0,False,8,Kempton (AW)_2026-01-19_2:38,2,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Summer Appeal,-,Lewis Edmunds,William Muir & Chris Grassick,8 -13,4,0,True,0,0.029587273,0,False,2,Kempton (AW)_2026-01-19_2:38,3,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,King's Cruiser,67,Luke Morris,Marco Botti,9- 4,4,0,True,0,0.027752971,0,False,9,Kempton (AW)_2026-01-19_2:38,4,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Imperial Decision,73,Georgia Dobie,Keiran Burke,9- 4,4,0,True,0,0.026978366,0,False,7,Kempton (AW)_2026-01-19_2:38,5,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,John Galt,72,Daniel Muscutt,Jamie Osborne,9- 4,4,0,True,0,0.026884457,0,False,4,Kempton (AW)_2026-01-19_2:38,6,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Siouxfonic,87,Pat Cosgrave,James Owen,9 -13,5,0,True,0,0.018990856,0,False,3,Kempton (AW)_2026-01-19_2:38,7,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Caliban,93,Oisin Murphy,Andrew Balding,9- 4,4,0,True,0,0.017827936,0,False,1,Kempton (AW)_2026-01-19_2:38,8,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Aethelthryth,89,Harry Davies,Tom Clover,8 -13,4,0,True,0,0.016130434,0,False,6,Kempton (AW)_2026-01-19_2:38,9,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,Abando,107,Saffie Osborne,Jamie Osborne,9- 4,4,0,True,0,0.015148466,0,False,5,Kempton (AW)_2026-01-19_2:38,10,False,0.0,,
Kempton (AW),19 Jan 2026Polytrack,6f,Standard To Slow,3:08,Unionville,74,William Carson,Michael Attwater,9- 6,3,0,True,0,0.14484623,2,True,2,Kempton (AW)_2026-01-19_3:08,1,False,0.0,,
