horse_name_odds,track_name,time,odds_live,win_probability,edge,ev,kelly_stake,action,jockey,trainer,rating
kampari,fakenham,1:30,100/1,0.021264153,0.02486775336652501,2.5116430900190263,2.5116430900190263,STRONG BET,Kevin Brogan,Laura Horsfall,-
callmesusie,fakenham,1:30,100/1,0.019379504,0.023171569266525006,2.340328495919026,2.340328495919026,STRONG BET,Charlie Hammond,Louise Allan,-
all good to go,fakenham,3:45,50/1,0.011450565,0.006328671128280013,0.32276222754228057,0.6455244550845611,STRONG BET,Harry Bannister,Alex Hales,-
bartlemy boy,thurles,3:55,7/1,0.12777719,0.005630476765534936,0.04504381412427949,0.6434830589182784,STRONG BET,Mr Alan O'Sullivan,Michael Barry,126
feud,thurles,1:40,33/1,0.056385648,0.036966324259652565,1.2568550248281873,3.8086515903884464,STRONG BET,Sean O'Keeffe,Richard John O'Brien,134
king of westeros,thurles,12:40,33/1,0.037387177,0.019867700359652567,0.6755018122281873,2.0469751885702645,STRONG BET,Jack Kennedy,Gordon Elliott,65
diamond secret,thurles,12:40,50/1,0.023240086,0.01693924002828001,0.8639012414422806,1.7278024828845613,STRONG BET,Brian Hayes,Philip Fenton,-
la tene,thurles,12:40,100/1,0.01749184,0.021472671666525008,2.168739838319026,2.168739838319026,STRONG BET,Brian Barry,John Patrick Ryan,-
its all yellow,thurles,12:40,100/1,0.015134302,0.01935088746652501,1.9544396341190264,1.9544396341190267,STRONG BET,Danny Gilligan,Cian Collins,83
ad caelum,thurles,2:15,50/1,0.013804988,0.008447651828280014,0.4308302432422808,0.8616604864845617,STRONG BET,Daniel King,John Patrick Ryan,138
fakiera,thurles,3:55,66/1,0.01183684,0.011358788631206556,0.7610388382908393,1.1530891489255142,STRONG BET,Ms N M Bradley,Eoin Griffin,76
written in my soul,thurles,12:40,100/1,0.009286399,0.014087774766525013,1.4228652514190263,1.4228652514190263,STRONG BET,Jordan Gainford,E D Delany,106
femme magnifique,thurles,2:15,80/1,0.007419016,0.009962441153189235,0.806957733408328,1.00869716676041,STRONG BET,Cian Quirke,Paul Stephen Kiely,130
sampoet,thurles,3:55,50/1,0.00635682,0.001744300628280012,0.08895933204228057,0.17791866408456114,STRONG BET,Miss Georgie Benson,D M Christie,127
temptationinmilan,thurles,3:55,100/1,0.0063195457,0.011417606796525011,1.1531782864490263,1.1531782864490263,STRONG BET,Ms A T O'Reilly,Eamon Courtney,93
green book,windsor,2:25,40/1,0.017563006,0.007047467263095887,0.28894615778693145,0.7223653944673286,STRONG BET,Charlie Deutsch,Venetia Williams,-
lil fortune,windsor,4:05,100/1,0.015922485,0.02006025216652501,2.026085468819026,2.026085468819026,STRONG BET,Finn Lambert,Georgina Nicholls,-
gingerbred,windsor,3:35,50/1,0.015294435,0.009788154128280012,0.4991958605422806,0.9983917210845612,STRONG BET,James Davies,Carroll Gray,124
yasmina,windsor,12:20,125/1,0.008246933,0.015116737529026977,1.9047089286573988,1.523767142925919,STRONG BET,Caoilin Quinn,Andy Irvine,97
eldorado allen,windsor,3:00,50/1,0.0061593987,0.0015666214582800118,0.07989769437228067,0.15979538874456134,STRONG BET,Brendan Powell,Joe Tizzard,161
