combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
0,"(0, 141, 142, 143)",unionville|ganthorpe|racing country|daley t,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.10013004579053492,17.625,36.3088408955076,51.3088408955076,1009.7977933973115,0.035956546085679206,L15_CANDIDATE
1,"(0, 141, 142, 144)",unionville|ganthorpe|racing country|trusty scout,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09752569374053491,20.0,52.11856589178568,67.11856589178568,1725.2018882225586,0.03021012569461213,L15_CANDIDATE
2,"(0, 141, 142, 146)",unionville|ganthorpe|racing country|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09689640654053491,16.125,21.135585185254243,36.13558518525424,492.29516278260616,0.042932750071703545,L15_CANDIDATE
3,"(0, 141, 142, 147)",unionville|ganthorpe|racing country|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09615086971553491,15.633333333333333,17.249979851200564,32.249979851200564,381.0316017056715,0.045271782639502274,L15_CANDIDATE
4,"(0, 141, 142, 1)",unionville|ganthorpe|racing country|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09568588786553492,21.75,60.15982321294339,75.1598232129434,2179.2977920868466,0.027605141175009264,L15_CANDIDATE
5,"(0, 141, 142, 2)",unionville|ganthorpe|racing country|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09518529459053492,40.5,185.79987351464368,200.79987351464368,8008.452480172326,0.023200471498664076,L15_CANDIDATE
6,"(0, 141, 142, 152)",unionville|ganthorpe|racing country|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09500671726553492,16.875,25.35328193451795,40.353281934517945,666.9223569077095,0.03801534267357962,L15_CANDIDATE
7,"(0, 141, 142, 60)",unionville|ganthorpe|racing country|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.09402944101553491,17.625,29.245549610029375,44.24554961002938,851.7596112821412,0.03433545007611535,L15_CANDIDATE
8,"(0, 141, 142, 4)",unionville|ganthorpe|racing country|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09390277456553492,16.625,22.938715541272273,37.93871554127227,582.8554440789485,0.03935575411416282,L15_CANDIDATE
9,"(0, 141, 143, 144)",unionville|ganthorpe|daley t|trusty scout,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09634706071553491,16.625,25.122273436380567,40.12227343638057,763.7796606010907,0.03289204299654886,L15_CANDIDATE
10,"(0, 141, 143, 146)",unionville|ganthorpe|daley t|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09571777351553491,12.75,6.418259518763287,21.418259518763286,217.56179697595798,0.029500857264350266,L15_CANDIDATE
11,"(0, 141, 143, 147)",unionville|ganthorpe|daley t|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09497223669053491,12.258333333333333,4.0725711895836705,19.07257118958367,168.25109367017672,0.024205317782760735,L15_CANDIDATE
12,"(0, 141, 143, 1)",unionville|ganthorpe|daley t|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.0945072548405349,18.375,29.976673672261345,44.97667367226134,964.9563303904151,0.031065316354920408,L15_CANDIDATE
13,"(0, 141, 143, 2)",unionville|ganthorpe|daley t|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09400666156553492,37.125,105.82390321134008,120.82390321134008,3546.899394763747,0.029835608917345352,L15_CANDIDATE
14,"(0, 141, 143, 152)",unionville|ganthorpe|daley t|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0938280842405349,13.5,8.964427024263728,23.964427024263728,294.9695201653033,0.03039102826366599,L15_CANDIDATE
15,"(0, 141, 143, 60)",unionville|ganthorpe|daley t|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.09285080799053491,14.25,11.314137320488088,26.31413732048809,376.88582872400144,0.03002006564904191,L15_CANDIDATE
16,"(0, 141, 143, 4)",unionville|ganthorpe|daley t|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.0927241415405349,13.25,7.506785364410211,22.506785364410213,257.71948044177543,0.029127737459125294,L15_CANDIDATE
17,"(0, 141, 144, 146)",unionville|ganthorpe|trusty scout|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09311342146553492,15.125,13.19391181422984,28.193911814229843,372.31193325813734,0.03543778921821994,L15_CANDIDATE
18,"(0, 141, 144, 147)",unionville|ganthorpe|trusty scout|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09236788464053491,14.633333333333333,10.139267087308797,25.1392670873088,288.1435563023204,0.03518824858491949,L15_CANDIDATE
19,"(0, 141, 144, 1)",unionville|ganthorpe|trusty scout|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09190290279053492,20.75,43.87257644047765,58.87257644047765,1648.4495828989234,0.026614448446354303,L15_CANDIDATE
20,"(0, 141, 144, 2)",unionville|ganthorpe|trusty scout|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09140230951553492,39.5,142.6437289763934,157.6437289763934,6057.841215469867,0.023546957390055898,L15_CANDIDATE
21,"(0, 141, 144, 152)",unionville|ganthorpe|trusty scout|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09122373219053492,15.875,16.50962816400373,31.50962816400373,504.415885124306,0.03273019080264526,L15_CANDIDATE
22,"(0, 141, 144, 60)",unionville|ganthorpe|trusty scout|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.09024645594053492,16.625,19.569510449671284,34.569510449671284,644.2409236841172,0.030376074741980476,L15_CANDIDATE
23,"(0, 141, 144, 4)",unionville|ganthorpe|trusty scout|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09011978949053492,15.625,14.611431649733975,29.611431649733976,440.82232754187663,0.03314585205157499,L15_CANDIDATE
24,"(0, 141, 146, 147)",unionville|ganthorpe|eutropia|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|8|0,0.09173859744053492,10.758333333333333,-1.7498911362442018,13.250108863755797,81.49445762129383,-0.021472517117372282,NO_L15
25,"(0, 141, 146, 1)",unionville|ganthorpe|eutropia|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|8|0,0.09127361559053493,16.875,16.640193368106733,31.640193368106733,470.54272076623477,0.03536383123940316,L15_CANDIDATE
26,"(0, 141, 146, 2)",unionville|ganthorpe|eutropia|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|8|0,0.09077302231553493,35.625,70.48637319917023,85.48637319917023,1730.6315576758727,0.040728699812817994,L15_CANDIDATE
27,"(0, 141, 146, 152)",unionville|ganthorpe|eutropia|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|8|0,0.09059444499053493,12.0,1.7229812492409413,16.72298124924094,143.44271753309846,0.012011632788840428,L15_CANDIDATE
28,"(0, 141, 146, 60)",unionville|ganthorpe|eutropia|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|8|0,0.08961716874053492,12.75,3.3911097218334687,18.39110972183347,183.474890570172,0.01848269107176004,L15_CANDIDATE
29,"(0, 141, 146, 4)",unionville|ganthorpe|eutropia|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|8|0,0.08949050229053493,11.75,0.6881585480995253,15.688158548099524,125.24672070675813,0.005494423680047642,L15_CANDIDATE
