horse_name_odds,track_name,time,win_probability,odds_live,decimal_odds,implied_prob,raw_edge,edge,ev,roi_pct,kelly_stake,trend,action
Mistyburn,Punchestown,12:20,0.0731563,250/1,251.0,0.00398406374501992,0.06917223625498008,0.08917223625498008,17.362231299999998,1736.2231299999999,1.73622313,shortening,BET
Tullabrack Lad,Punchestown,1:20,0.0929284,150/1,151.0,0.006622516556291391,0.0863058834437086,0.1063058834437086,13.032188399999999,1303.21884,2.1720314,shortening,BET
Bajan Excell,Punchestown,12:20,0.048304822,250/1,251.0,0.00398406374501992,0.04432075825498008,0.04432075825498008,11.124510321999999,1112.4510321999999,1.1124510321999999,stable,BET
Flame Dancer,Fontwell,2:30,0.028781341,250/1,251.0,0.00398406374501992,0.024797277254980078,0.024797277254980078,6.224116591,622.4116591,0.6224116591,stable,BET
Pacman,Fontwell,1:00,0.014403048,500/1,501.0,0.001996007984031936,0.012407040015968065,0.032407040015968065,6.215927048,621.5927048,0.31079635240000003,shortening,BET
Blue Marvel,Fontwell,2:30,0.014379159,450/1,451.0,0.0022172949002217295,0.01216186409977827,0.03216186409977827,5.485000709,548.5000709000001,0.30472226161111116,shortening,BET
Rajsalad,Punchestown,12:20,0.030856276,200/1,201.0,0.004975124378109453,0.025881151621890544,0.025881151621890544,5.202111476,520.2111476,0.6502639345,stable,BET
Sun Festival,Chelmsford (AW),3:12,0.05734102,100/1,101.0,0.009900990099009901,0.0474400299009901,0.0674400299009901,4.79144302,479.144302,1.197860755,shortening,BET
Enge Hazard,Punchestown,12:20,0.08354058,66/1,67.0,0.014925373134328358,0.06861520686567164,0.08861520686567165,4.59721886,459.721886,1.7413707803030305,shortening,BET
Blueandtangerine,Chelmsford (AW),4:12,0.052679006,100/1,101.0,0.009900990099009901,0.0427780159009901,0.0627780159009901,4.320579606,432.0579606,1.0801449015,shortening,BET
Mary Rose,Chelmsford (AW),3:12,0.05911324,80/1,81.0,0.012345679012345678,0.04676756098765432,0.06676756098765432,3.7881724399999994,378.81724399999996,1.1838038875,shortening,BET
Miners Gamble,Chelmsford (AW),4:42,0.07111599,66/1,67.0,0.014925373134328358,0.056190616865671644,0.07619061686567165,3.7647713300000003,376.47713300000004,1.4260497462121213,shortening,BET
Mistress Fox,Fontwell,2:00,0.0299648,150/1,151.0,0.006622516556291391,0.02334228344370861,0.02334228344370861,3.5246848,352.46848,0.5874474666666667,stable,BET
Revolutionise,Chelmsford (AW),3:42,0.042155586,100/1,101.0,0.009900990099009901,0.0322545959009901,0.0522545959009901,3.2577141860000003,325.7714186,0.8144285465000002,shortening,BET
Shalfa,Fontwell,2:30,0.03273615,125/1,126.0,0.007936507936507936,0.024799642063492063,0.024799642063492063,3.1247549,312.47549000000004,0.62495098,stable,BET
Man On A Mission,Chelmsford (AW),2:12,0.02730723,150/1,151.0,0.006622516556291391,0.02068471344370861,0.02068471344370861,3.12339173,312.33917299999996,0.5205652883333334,stable,BET
Calshot Spit,Fontwell,4:00,0.008867533,450/1,451.0,0.0022172949002217295,0.006650238099778271,0.026650238099778272,2.999257383,299.92573830000003,0.16662541016666668,shortening,BET
Banter At The Bar,Punchestown,12:20,0.287558,12/1,13.0,0.07692307692307693,0.21063492307692305,0.19063492307692306,2.7382539999999995,273.82539999999995,5.704695833333332,drifting,STRONG BET
Twilight Guest,Chelmsford (AW),2:42,0.03625767,100/1,101.0,0.009900990099009901,0.026356679900990096,0.0463566799009901,2.66202467,266.202467,0.6655061674999999,shortening,BET
Comanche Magic,Fontwell,4:00,0.009070625,400/1,401.0,0.0024937655860349127,0.006576859413965088,0.02657685941396509,2.637320625,263.7320625,0.16483253906250003,shortening,BET
Tam Lin,Chelmsford (AW),4:42,0.03570354,100/1,101.0,0.009900990099009901,0.025802549900990096,0.0458025499009901,2.6060575399999997,260.605754,0.651514385,shortening,BET
Cast's Georgie,Fontwell,2:00,0.033468295,100/1,101.0,0.009900990099009901,0.0235673049009901,0.0435673049009901,2.380297795,238.02977950000002,0.59507444875,shortening,BET
Ontheropes,Punchestown,3:20,0.03190586,100/1,101.0,0.009900990099009901,0.0220048699009901,0.0420048699009901,2.2224918600000003,222.24918600000004,0.555622965,shortening,BET
Le Flying Ferret,Fontwell,1:00,0.0075809965,400/1,401.0,0.0024937655860349127,0.0050872309139650875,0.025087230913965086,2.0399795965000003,203.99795965000004,0.12749872478125002,shortening,BET
Cushendall,Fontwell,2:30,0.028036924,100/1,101.0,0.009900990099009901,0.018135933900990102,0.0381359339009901,1.8317293240000003,183.17293240000004,0.457932331,shortening,BET
Simply Blue,Chelmsford (AW),4:42,0.04036493,66/1,67.0,0.014925373134328358,0.02543955686567164,0.04543955686567164,1.70445031,170.445031,0.6456251174242424,shortening,BET
Khutulun Khan,Fontwell,2:30,0.03889731,66/1,67.0,0.014925373134328358,0.023971936865671638,0.043971936865671635,1.6061197699999998,160.611977,0.6083787007575757,shortening,BET
Moon Mission,Punchestown,3:20,0.11216211,22/1,23.0,0.043478260869565216,0.06868384913043478,0.048683849130434775,1.5797285299999997,157.97285299999996,1.7951460568181814,drifting,BET
Just For Yuse,Punchestown,1:20,0.049305517,50/1,51.0,0.0196078431372549,0.0296976738627451,0.0296976738627451,1.514581367,151.45813669999998,0.7572906835,stable,BET
Sunset In Paris,Chelmsford (AW),3:12,0.042881444,50/1,51.0,0.0196078431372549,0.023273600862745096,0.04327360086274509,1.186953644,118.69536439999999,0.5934768220000001,shortening,BET
Svelte Silhouette,Fontwell,2:00,0.021645313,100/1,101.0,0.009900990099009901,0.011744322900990098,0.0317443229009901,1.1861766129999998,118.61766129999998,0.29654415325000005,shortening,BET
Rochelle,Chelmsford (AW),3:42,0.02115548,100/1,101.0,0.009900990099009901,0.0112544899009901,0.0312544899009901,1.13670348,113.670348,0.28417587,shortening,BET
Diligent Henry,Chelmsford (AW),4:12,0.18737,10/1,11.0,0.09090909090909091,0.0964609090909091,0.0964609090909091,1.06107,106.107,2.6526750000000003,stable,BET
Kit Gabriel,Chelmsford (AW),3:42,0.030145278,66/1,67.0,0.014925373134328358,0.015219904865671643,0.03521990486567164,1.0197336260000003,101.97336260000003,0.3862627371212121,shortening,BET
Correspondence,Chelmsford (AW),2:12,0.019353705,100/1,101.0,0.009900990099009901,0.009452714900990098,0.0294527149009901,0.9547242049999998,95.47242049999997,0.23868105124999994,shortening,BET
Three On Thursday,Chelmsford (AW),2:42,0.03817095,50/1,51.0,0.0196078431372549,0.0185631068627451,0.0385631068627451,0.9467184500000001,94.671845,0.47335922500000005,shortening,BET
Holetown,Fontwell,2:30,0.019155556,100/1,101.0,0.009900990099009901,0.0092545659009901,0.029254565900990098,0.9347111560000001,93.4711156,0.233677789,shortening,BET
Em Four,Chelmsford (AW),2:12,0.018438764,100/1,101.0,0.009900990099009901,0.008537773900990099,0.028537773900990097,0.862315164,86.2315164,0.215578791,shortening,BET
Fidget Lady,Chelmsford (AW),4:12,0.04519126,40/1,41.0,0.024390243902439025,0.020801016097560972,0.020801016097560972,0.85284166,85.284166,0.5330260375,stable,BET
Come To Pass,Chelmsford (AW),3:12,0.075164534,22/1,23.0,0.043478260869565216,0.03168627313043479,0.011686273130434788,0.7287842820000001,72.87842820000002,0.828163956818182,drifting,BET
Wassailing Along,Fontwell,2:00,0.016396118,100/1,101.0,0.009900990099009901,0.0064951279009901,0.026495127900990102,0.656007918,65.6007918,0.16400197950000003,shortening,BET
Cherry Cobbler,Chelmsford (AW),3:42,0.023447486,66/1,67.0,0.014925373134328358,0.008522112865671642,0.02852211286567164,0.570981562,57.098156200000005,0.2162808946969697,shortening,BET
Knight Of Magic,Chelmsford (AW),3:12,0.045458615,33/1,34.0,0.029411764705882353,0.01604685029411765,0.03604685029411765,0.5455929100000001,54.55929100000001,0.4133279621212122,shortening,BET
Strobelight,Chelmsford (AW),4:12,0.03601359,40/1,41.0,0.024390243902439025,0.011623346097560973,0.03162334609756097,0.47655718999999985,47.65571899999998,0.2978482437499999,shortening,BET
Monsieur Kodi,Chelmsford (AW),3:42,0.04287129,33/1,34.0,0.029411764705882353,0.013459525294117647,0.03345952529411765,0.45762386,45.762386,0.3466847424242423,shortening,BET
Silver King,Punchestown,12:20,0.05445089,25/1,26.0,0.038461538461538464,0.015989351538461538,0.015989351538461538,0.4157231400000001,41.57231400000001,0.4157231400000001,stable,BET
Gaiety Musical,Chelmsford (AW),3:42,0.035214644,33/1,34.0,0.029411764705882353,0.005802879294117651,0.02580287929411765,0.19729789600000003,19.729789600000004,0.14946810303030314,shortening,BET
Kondratiev Wave,Chelmsford (AW),4:12,0.06682583,16/1,17.0,0.058823529411764705,0.008002300588235298,0.028002300588235298,0.13603911000000002,13.603911000000002,0.21256110937500003,shortening,BET
Last Outlaw,Chelmsford (AW),4:12,0.054033168,20/1,21.0,0.047619047619047616,0.006414120380952383,0.026414120380952383,0.1346965280000001,13.46965280000001,0.16837065999999998,shortening,BET
Baltinglass Hill,Punchestown,1:20,0.06449897,16/1,17.0,0.058823529411764705,0.005675440588235298,0.025675440588235298,0.09648249000000009,9.648249000000009,0.15075389062500014,shortening,BET
Tolstoy,Chelmsford (AW),3:42,0.04962362,20/1,21.0,0.047619047619047616,0.002004572380952384,0.022004572380952384,0.04209602000000001,4.209602000000001,0.05262002500000002,shortening,BET
Angel's Dream,Fontwell,3:30,0.015299199,66/1,67.0,0.014925373134328358,0.0003738258656716415,0.020373825865671644,0.02504633299999992,2.504633299999992,0.009487247348484818,shortening,BET
Aj's Diamond,Fontwell,2:00,0.03886248,25/1,26.0,0.038461538461538464,0.0004009415384615342,0.020400941538461535,0.010424479999999958,1.0424479999999958,0.010424479999999958,shortening,BET
