track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Quinta Do Lago,58,Alistair Rawlinson,Joey Ramsden,9- 9,6,0,True,0,0.06057787,0,False,15/2,8/1,17/2,8/1,17/2,drifting,9.0,9.5,9.0,9.5,8.5,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,8.5,0.32863549007046755,9.528129400124183,0.10646592672862927,0.04381806534272901,0.04381806534272901,4.381806534272901,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Combs,54,Lewis Edmunds,J R Jenkins,9- 9,7,0,True,0,0.05852871,0,False,12/1,14/1,16/1,14/1,16/1,drifting,15.0,17.0,15.0,17.0,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,13.0,1.0320307495195387,22.287250776761063,0.21860716264184818,0.08600256245996156,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,Far Eclipse,58,Rob Hornby,Charlie Wallis,9- 9,5,0,True,0,0.051888887,0,False,400/1,500/1,400/1,500/1,450/1,drifting,501.0,401.0,501.0,451.0,401.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,401.0,61.680333119794994,21205.98942102932,0.42356243891882006,0.15420083279948749,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,5f,Standard,8:00,It's Bobsled Time,56,Gina Mangan,Tony Carroll,9- 9,10,0,True,0,0.05041351,0,False,80/1,90/1,80/1,70/1,66/1,shortening,91.0,81.0,71.0,67.0,81.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,81.0,11.661114670083277,865.2464635877476,0.3964333200021787,0.14576393337604096,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,In My Teens,72,Marco Ghiani,Clare Hobson,9- 0,6,0,True,0,0.046355613,0,False,40/1,30/1,33/1,28/1,33/1,shortening,31.0,34.0,29.0,34.0,41.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,41.0,5.408712363869314,221.68561275583045,0.36326631791201663,0.13521780909673284,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Alliteration,58,Hollie Doyle,Archie Watson,8- 5,3,0,True,0,0.04603764,0,False,11/1,14/1,12/1,22/1,16/1,drifting,15.0,13.0,23.0,17.0,12.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,12.0,0.8757206918641893,18.990320188482798,0.20095530143328588,0.07961097198765357,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,Annie's Belle,79,Tyler Heard,Keiran Burke,8- 4,8,0,True,0,0.039227676,0,False,150/1,200/1,250/1,200/1,150/1,stable,201.0,251.0,201.0,151.0,151.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,151.0,22.602818705957716,3006.9325737333074,0.41219313722051737,0.1506854580397181,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,Castlerock Lady,77,Lewis Edmunds,Derek Shaw,8 -10,7,0,True,0,0.038335156,0,False,200/1,250/1,300/1,250/1,200/1,stable,251.0,301.0,251.0,201.0,201.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,201.0,30.41832158872517,5327.971707881205,0.41672954516183014,0.15209160794362586,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,Family Getaway,65,Hector Crouch,Phil McEntee,9- 7,6,0,True,0,0.037771344,0,False,33/1,50/1,40/1,50/1,40/1,drifting,51.0,41.0,51.0,41.0,34.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,34.0,4.31454196028187,152.4500704019869,0.3494386045406035,0.13074369576611727,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,Lady Victrix,65,William Carson,Tony Carroll,9- 8,9,0,True,0,0.036378387,0,False,200/1,250/1,300/1,250/1,200/1,stable,251.0,301.0,251.0,201.0,201.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,201.0,30.41832158872517,5327.971707881205,0.41672954516183014,0.15209160794362586,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m5½f,Standard,7:30,Little Ivy,86,Jack Doughty,Charlie Longsdon,9 -10,10,0,True,0,0.035185505,0,False,66/1,80/1,100/1,80/1,100/1,drifting,81.0,101.0,81.0,101.0,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,67.0,9.47277386290839,591.9968564312451,0.38932964119630065,0.1435268767107332,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Miss Doyenne,73,Jack Doughty,Tony Carroll,9- 7,12,0,True,0,0.034690868,0,False,-,6/1,13/2,6/1,13/2,drifting,7.0,7.5,7.0,7.5,7.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,7.0,0.09417040358744377,6.461983953025396,0.037045161639493764,0.015695067264573963,0.015695067264573963,1.5695067264573963,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,Miss Georgina,80,Hollie Doyle,Dr Richard Newland & Jamie Insole,9- 1,4,0,True,0,0.033274155,0,False,66/1,80/1,100/1,80/1,125/1,drifting,81.0,101.0,81.0,126.0,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,67.0,9.47277386290839,591.9968564312451,0.38932964119630065,0.1435268767107332,0.05,5.0,STRONG_BET_SINGLE
