track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,URL,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification
fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,kampari,-,Kevin Brogan,Laura Horsfall,11- 8,6,0,True,0,0.021264153,0,False,https://www.racingpost.com/racecards/18/fakenham/2026-01-18/910471,100/1,66/1,,,,shortening,67.0,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.034768743465534914,101.0,2.5116430900190263,342.3443149002433,0.13574578869553477,0.025116430900190265,0.025116430900190265,2.5116430900190263,STRONG_BET_SINGLE
fakenham,18 Jan 2026,2m4f,Good To Soft,1:30,callmesusie,-,Charlie Hammond,Louise Allan,11- 1,8,0,True,0,0.019379504,0,False,https://www.racingpost.com/racecards/18/fakenham/2026-01-18/910471,100/1,,,,,no_data,,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03307255936553491,101.0,2.340328495919026,326.21538362717297,0.12957600974345582,0.02340328495919026,0.02340328495919026,2.340328495919026,STRONG_BET_SINGLE
fakenham,18 Jan 2026,2m,Good To Soft,3:45,all good to go,-,Harry Bannister,Alex Hales,11- 8,5,0,True,0,0.011450565,0,False,https://www.racingpost.com/racecards/18/fakenham/2026-01-18/910475,50/1,40/1,20/1,,,shortening,41.0,21.0,,,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.025936514265534914,51.0,0.32276222754228057,65.7111736940437,0.03981650095634578,0.006455244550845611,0.006455244550845611,0.6455244550845611,STRONG_BET_SINGLE
thurles,18 Jan 2026,3m1f,Yielding,3:55,bartlemy boy,126,Mr Alan O'Sullivan,Michael Barry,11 -11,8,7,True,0,0.12777719,1,True,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911410,7/1,10/1,12/1,10/1,,drifting,11.0,13.0,11.0,,8.0,0.1,0.1563100576553491,0.7270560190703218,,,0.13063047676553494,8.0,0.04504381412427949,7.268233939554815,0.016707855440357494,0.006434830589182784,0.006434830589182784,0.6434830589182784,STRONG_BET_SINGLE
thurles,18 Jan 2026,2m,Yielding,1:40,feud,134,Sean O'Keeffe,Richard John O'Brien,11 -12,6,0,True,0,0.056385648,9,True,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911406,33/1,,,,,no_data,,,,,34.0,0.1,0.1563100576553491,0.7270560190703218,,,0.06637808896553492,34.0,1.2568550248281873,71.63967624106613,0.14849381962741642,0.03808651590388446,0.03808651590388446,3.8086515903884464,STRONG_BET_SINGLE
thurles,18 Jan 2026,2m4f,Yielding,12:40,king of westeros,65,Jack Kennedy,Gordon Elliott,11- 8,5,0,True,0,0.037387177,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911404,33/1,14/1,,,,shortening,15.0,,,,34.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04927946506553492,34.0,0.6755018122281873,54.159755292978424,0.09178847866459416,0.020469751885702644,0.020469751885702644,2.0469751885702645,STRONG_BET_SINGLE
thurles,18 Jan 2026,2m4f,Yielding,12:40,diamond secret,-,Brian Hayes,Philip Fenton,11- 6,5,0,True,0,0.023240086,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911404,50/1,90/1,100/1,25/1,,shortening,91.0,101.0,26.0,,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03654708316553491,51.0,0.8639012414422806,91.58483547570624,0.09027184386254311,0.017278024828845613,0.017278024828845613,1.7278024828845613,STRONG_BET_SINGLE
thurles,18 Jan 2026,2m4f,Yielding,12:40,la tene,-,Brian Barry,John Patrick Ryan,10 -11,8,7,True,0,0.01749184,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911404,100/1,33/1,,,,shortening,34.0,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03137366176553491,101.0,2.168739838319026,310.00181150727155,0.12317578576488468,0.02168739838319026,0.02168739838319026,2.168739838319026,STRONG_BET_SINGLE
thurles,18 Jan 2026,2m4f,Yielding,12:40,its all yellow,83,Danny Gilligan,Cian Collins,10 -11,5,0,True,0,0.015134302,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911404,100/1,66/1,,,,shortening,67.0,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.029251877565534913,101.0,1.9544396341190264,289.6696894943683,0.1148340638297723,0.019544396341190266,0.019544396341190266,1.9544396341190267,STRONG_BET_SINGLE
thurles,18 Jan 2026 ITV4,2m5f,Yielding,2:15,ad caelum,138,Daniel King,John Patrick Ryan,10 -12,7,0,True,0,0.013804988,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911407,50/1,66/1,,,,drifting,67.0,,,,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.028055494965534916,51.0,0.4308302432422808,70.92506722037956,0.05115714557617413,0.008616604864845617,0.008616604864845617,0.8616604864845617,STRONG_BET_SINGLE
thurles,18 Jan 2026,3m1f,Yielding,3:55,fakiera,76,Ms N M Bradley,Eoin Griffin,11- 7,11,7,True,0,0.01183684,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911410,66/1,50/1,,,,shortening,51.0,,,,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.026284161765534914,67.0,0.7610388382908393,114.88834437551749,0.0710017144050502,0.011530891489255141,0.011530891489255141,1.1530891489255142,STRONG_BET_SINGLE
thurles,18 Jan 2026,2m4f,Yielding,12:40,written in my soul,106,Jordan Gainford,E D Delany,10 -11,6,0,True,0,0.009286399,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911404,100/1,40/1,,,,shortening,41.0,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.023988764865534914,101.0,1.4228652514190263,238.83911436678787,0.09206849569807013,0.014228652514190263,0.014228652514190263,1.4228652514190263,STRONG_BET_SINGLE
thurles,18 Jan 2026 ITV4,2m5f,Yielding,2:15,femme magnifique,130,Cian Quirke,Paul Stephen Kiely,10 -12,8,0,True,0,0.007419016,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911407,80/1,,,,,no_data,,,,,81.0,0.1,0.1563100576553491,0.7270560190703218,,,0.022308120165534913,81.0,0.806957733408328,143.0984801557504,0.06745797147323879,0.0100869716676041,0.0100869716676041,1.00869716676041,STRONG_BET_SINGLE
thurles,18 Jan 2026,3m1f,Yielding,3:55,sampoet,127,Miss Georgie Benson,D M Christie,11- 7,9,7,True,0,0.00635682,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911410,50/1,40/1,33/1,,,shortening,41.0,34.0,,,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.021352143765534914,51.0,0.08895933204228057,54.35109350731434,0.012066668177964042,0.0017791866408456115,0.0017791866408456115,0.17791866408456114,STRONG_BET_SINGLE
thurles,18 Jan 2026,3m1f,Yielding,3:55,temptationinmilan,93,Ms A T O'Reilly,Eamon Courtney,11- 7,10,7,True,0,0.0063195457,0,False,https://www.racingpost.com/racecards/198/thurles/2026-01-18/911410,100/1,80/1,66/1,,,shortening,81.0,67.0,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.021318596895534912,101.0,1.1531782864490263,212.8348301981161,0.0790451277506734,0.011531782864490263,0.011531782864490263,1.1531782864490263,STRONG_BET_SINGLE
windsor,18 Jan 2026 ITV4,3m,Soft,2:25,green book,-,Charlie Deutsch,Venetia Williams,11- 3,9,0,True,0,0.017563006,0,False,https://www.racingpost.com/racecards/93/windsor/2026-01-18/910477,40/1,28/1,25/1,33/1,25/1,shortening,29.0,26.0,34.0,26.0,41.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03143771116553491,41.0,0.28894615778693145,51.18541027159049,0.04038720785673698,0.007223653944673286,0.007223653944673286,0.7223653944673286,STRONG_BET_SINGLE
windsor,18 Jan 2026 SKY,2m,Soft,4:05,lil fortune,-,Finn Lambert,Georgina Nicholls,11- 4,5,0,True,0,0.015922485,0,False,https://www.racingpost.com/racecards/93/windsor/2026-01-18/910479,100/1,125/1,,,,drifting,126.0,,,,101.0,0.1,0.1563100576553491,0.7270560190703218,,,0.029961242265534913,101.0,2.026085468819026,296.477439086124,0.11766896580870491,0.02026085468819026,0.02026085468819026,2.026085468819026,STRONG_BET_SINGLE
windsor,18 Jan 2026 ITV4,3m4½f,Soft,3:35,gingerbred,124,James Davies,Carroll Gray,10- 7,8,0,True,0,0.015294435,0,False,https://www.racingpost.com/racecards/93/windsor/2026-01-18/910481,50/1,66/1,50/1,50/1,40/1,shortening,67.0,51.0,51.0,41.0,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.029395997265534914,51.0,0.4991958605422806,74.2114006593892,0.05794762769241212,0.009983917210845612,0.009983917210845612,0.9983917210845612,STRONG_BET_SINGLE
