horse_name_odds,track_name,time,odds_live,win_probability,edge,ev,kelly_stake,action,jockey,trainer,rating
microscope,down royal,12:50,200/1,0.116860256,0.11583011178742546,23.28185246927252,5.0,STRONG BET,Eoin Staples,Peter Buchanan,-
harley street,down royal,3:20,16/1,0.056341425,0.007514758853770204,0.12775090051409355,0.7984431282130846,STRONG BET,Caragh Monaghan,Ian Patrick Donoghue,-
bocelli's voice,down royal,3:20,50/1,0.02732856,0.02061886662828001,1.0515621980422805,2.103124396084561,STRONG BET,Liam McKenna,Dermot A McLoughlin,104
goin',down royal,12:50,150/1,0.024124859,0.03072086230924352,4.6388502086957715,3.092566805797181,STRONG BET,Daniel King,A J Martin,81
parkland,down royal,12:50,200/1,0.01668881,0.02567581038742546,5.160837887872517,2.5804189439362584,STRONG BET,Eoghan Finegan,Anthony McCann,73
jodoro,down royal,12:50,100/1,0.016438227,0.020524419966525008,2.072966416619026,2.072966416619026,STRONG BET,Patrick M O'Brien,Dermot A McLoughlin,-
home by the sea,down royal,12:50,-,0.014376754,0.018669094266525015,1.8855785209190263,1.8855785209190263,STRONG BET,Richard Condon,P A Fahy,-
six mile suzy,down royal,12:50,200/1,0.013924347,0.023187793687425462,4.660746531172517,2.3303732655862586,STRONG BET,Carl Millar,W J Bryson,-
green hope,down royal,12:50,80/1,0.012891085,0.014887303253189235,1.2058715635083281,1.5073394543854102,STRONG BET,Danny Mullins,W R Crawford,-
walkingmayotomilan,down royal,12:50,-,0.012729028,0.012161757831206555,0.8148377746908393,1.2346026889255142,STRONG BET,,Ross O'Sullivan,-
ringcreevy diamond,down royal,1:50,50/1,0.010383222,0.0053680624282800085,0.2737711838422805,0.547542367684561,STRONG BET,Simon Torrens,C A McBratney,110
lady victrix,down royal,12:50,200/1,0.008710623,0.018495442087425464,3.7175838595725175,1.8587919297862587,STRONG BET,Benjamin P Kennedy,Paul W Flynn,92
crowe street,down royal,12:50,200/1,0.008448363,0.01825940808742546,3.6701410255725175,1.8350705127862588,STRONG BET,Conor Stone-Walsh,Gavin Cromwell,88
whatafoolbelieves,down royal,12:50,200/1,0.008138785,0.017980787887425465,3.6141383653725176,1.8070691826862588,STRONG BET,Ben Harvey,John C McConnell,87
whatcouldhavebeen,down royal,3:50,50/1,0.007392853,0.0026767303282800095,0.1365132467422805,0.273026493484561,STRONG BET,Aidan Kelly,Jarlath P Fahey,123
largy spirit,down royal,12:50,100/1,0.006792885,0.011843612166525014,1.1962048288190266,1.1962048288190266,STRONG BET,Ms E Dunseath,Noel C Kelly,109
comedaygoday,leicester,3:02,100/1,0.043631557,0.04499841696652502,4.544840113619027,4.544840113619027,STRONG BET,Sean Quinlan,Lizzie Quinlan,-
ilot de l'isle,leicester,3:02,40/1,0.042628232,0.029606170663095892,1.2138529971869314,3.0346324929673285,STRONG BET,Harry Bannister,Richard J Bandey,-
tombereau,leicester,1:32,40/1,0.038121022,0.02554968166309588,1.0475369481869312,2.618842370467328,STRONG BET,Charlie Hammond,Stuart Edmunds,-
devon dude,leicester,3:32,33/1,0.035081677,0.01779275035965256,0.604953512228187,1.8331924612975365,STRONG BET,Conor Ring,Evan Williams,82
