track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Brave Empire,81,Darragh Keenan,Ivan Furtado,9- 9,5,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Waistcoat,80,Jack Mitchell,Ross Burdon,9- 8,5,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,I Need Your Love,-,NON-RUNNER,Michael & David Easterby,9- 6,4,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Brian The Snail,79,David Nolan,Patrick Morris,9- 5,12,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Gustav Graves,80,Joanna Mason,Derek Shaw,9- 2,8,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Cargin Bhui,83,Lewis Edmunds,David & Nicola Barron,9- 2,5,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Amerjeet,82,Rob Hornby,Michael Herrington,8 -10,4,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Some Nightmare,78,Gina Mangan,John O'Shea,8- 8,9,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Zoulu Warrior,80,Cieren Fallon,Heather Main,9- 9,4,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Addarella,79,Marco Ghiani,Marco Botti,9- 7,4,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Toomuchforme,79,Alex Jary,Antony Brittain,9- 7,4,3
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Cast No Shadow,77,Jason Hart,Hugo Palmer,9- 3,5,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Punchbowl Flyer,79,William Carson,John O'Shea,9- 3,9,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Invincible Melody,79,Jack Dace,Stuart Williams,9- 2,4,5
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Haziym,78,Jack Doughty,Tony Carroll,8 -10,7,0
Wolverhampton (AW),9 Jan 2026 SKY Tapeta,6f,Standard,Court Of Session,79,Grace McEntee,Phil McEntee,8- 9,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Zoulu Chief,100,Jack Mitchell,Heather Main,9- 9,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Badri,100,Lewis Edmunds,Michael Herrington,9- 9,9,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Carbine Harvester,101,Cieren Fallon,William Haggas,9- 8,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Coachello,99,Edward Greatrex,Mark Loughnane,9- 8,8,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Kullazain,102,Callum Shepherd,James Tate,9- 8,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,The Caltonian,100,Jason Hart,Linda Perratt,9- 7,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Dragon Leader,-,NON-RUNNER,Clive Cox,9- 6,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Betsen,101,Tom Eaves,Tony Carroll,9- 5,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Purest Time,98,Joanna Mason,Ian Williams,9- 5,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Justcallmepete,101,Dougie Costello,Tony Carroll,9- 5,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Eminency,101,Jack Dace,Stuart Williams,9- 5,6,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Dyrholaey,101,Luke Morris,Archie Watson,9- 4,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,6f,Standard,Many A Star,100,Rob Hornby,Jamie Osborne,9- 4,9,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m4f,Standard,Bystander,81,Jack Dace,Stuart Williams,10- 0,6,5
