track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Additional Time,-,Alex Harvey,John C McConnell,11 -12,7,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Bajan Excell,88,Patrick M O'Brien,Ms Claire O'Connell,11 -12,10,5
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Banter At The Bar,-,Gavin Brouder,M F Morris,11 -12,6,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Brucejack,121,Danny Mullins,P A Fahy,11 -12,9,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Enge Hazard,-,Darragh O'Keeffe,Andrew McNamara,11 -12,8,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,John The Diva,118,Sean O'Keeffe,M A Cahill,11 -12,9,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Mighty Jeremy,116,Simon Torrens,Patrick T Foley,11 -12,12,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Mistyburn,-,Tiernan Power Roche,P J Rothwell,11 -12,6,3
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Rajsalad,102,Charlie O'Dwyer,Conor O'Dwyer,11 -12,10,5
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Silver King,106,Phillip Enright,Oliver McKiernan,11 -12,10,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Themanintheboots,112,Jack Kennedy,Gordon Elliott,11 -12,8,0
Punchestown,11 Jan 2026,2m6½f,Yielding To Soft,12:20,Katie Daniels,-,Kevin Healy,Cian Collins,11- 5,7,7
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,12:50,Jacob's Ladder,155,Jack Kennedy,Gordon Elliott,11- 2,7,0
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,12:50,Kappa Jy Pyke,150,Danny Mullins,W P Mullins,11- 2,6,0
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,12:50,Predators Gold,161,Paul Townend,W P Mullins,11- 2,7,0
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,12:50,Pure Steel,148,Mark Walsh,James Joseph Mangan,11- 2,6,0
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,12:50,The Enabler,160,Sam Ewing,Gordon Elliott,11- 2,7,0
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Lovely Reaction,100,Aidan Kelly,Thomas Mullins,12- 0,8,0
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Ernie From Nurney,95,Peter Smithers,Padraig Roche,11 -11,9,4
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Halsafari,98,Calum Hogan,James M Barcoe,11 -10,13,4
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Diamond Dollar,-,Kevin A Murphy,C Byrnes,11- 9,7,4
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Duce Bigalow,96,Eoin Staples,Seamus Neville,10 -13,7,2
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Hakensack,-,Michael Kenneally,James William Hannon,10 -11,7,4
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Just For Yuse,103,Patrick M O'Brien,Paul Stafford,10- 9,8,2
Punchestown,11 Jan 2026,2m3½f,Yielding To Soft,1:20,Baltinglass Hill,104,Tiernan Power Roche,P J Rothwell,10- 8,9,0
