============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-10
Execution Time: 2026-01-09 21:42:54
Input File: Inference_Inputs\Input_2026-01-10.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 474
Missing Values (NaNs) found in key features (before zero-fill):
 - wilson_score: 173
 - jt_wins: 474

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Shabalko d'Herm           | 0          | 0.0116     | Fallback  
Baron Noir                | 0          | 0.0106     | Fallback  
Kocktail Bleu             | 0          | 0.0114     | Fallback  
Swingin Safari            | 0          | 0.0107     | Fallback  
Can U Feel It             | 0          | 0.0087     | Fallback  
Gambino                   | 0          | 0.0159     | Fallback  
My Fortune                | 0          | 0.0138     | Fallback  
The Egyptian Ginge        | 0          | 0.0093     | Fallback  
Outlaw Peter              | 0          | 0.0179     | Fallback  
Go West                   | 0          | 0.0152     | Fallback  
Lookaway                  | 0          | 0.0154     | Fallback  
Leader In The Park        | 0          | 0.0229     | Fallback  
Old Cowboy                | 0          | 0.0185     | Fallback  
Peso                      | 0          | 0.0175     | Fallback  
Precious Man              | 0          | 0.0158     | Fallback  
Chartwell Jock            | 0          | 0.0146     | Fallback  
Dissident                 | 0          | 0.0128     | Fallback  
Frank Stamper             | 0          | 0.0152     | Fallback  
King Al                   | 0          | 0.0151     | Fallback  
Pourquoi Pas Papa         | 0          | 0.0124     | Fallback  
Senator                   | 0          | 0.0195     | Fallback  
Wertpol                   | 0          | 0.0124     | Fallback  
Wise Counsellor           | 0          | 0.0194     | Fallback  
Soul Icon                 | 0          | 0.0100     | Fallback  
Your Darling              | 0          | 0.0148     | Fallback  
The Doyen Chief           | 0          | 0.0116     | Fallback  
Welcom To Cartries        | 0          | 0.0114     | Fallback  
Beachcomber               | 0          | 0.0107     | Fallback  
Sea Invasion              | 0          | 0.0096     | Fallback  
Master Chewy              | 0          | 0.0147     | Fallback  
Boombawn                  | 0          | 0.0185     | Fallback  
Kalif Du Berlais          | 0          | 0.0202     | Fallback  
Edwardstone               | 0          | 0.0154     | Fallback  
French Ship               | 0          | 0.0130     | Fallback  
Captain Teague            | 0          | 0.0114     | Fallback  
Double Powerful           | 0          | 0.0109     | Fallback  
Iberico Lord              | 0          | 0.0103     | Fallback  
Beat The Bat              | 0          | 0.0115     | Fallback  
Lanesborough              | 0          | 0.0164     | Fallback  
Wreckless Eric            | 0          | 0.0106     | Fallback  
King Of The Lake          | 0          | 0.0092     | Fallback  
Ike Sport                 | 0          | 0.0090     | Fallback  
Krak                      | 0          | 0.0098     | Fallback  
Goodwin                   | 0          | 0.0084     | Fallback  
A Pai De Nom              | 0          | 0.0099     | Fallback  
Just Ennemi               | 0          | 0.0098     | Fallback  
Came From Nowhere         | 0          | 0.0099     | Fallback  
Fasol                     | 0          | 0.0093     | Fallback  
Yellow Star               | 0          | 0.0094     | Fallback  
Just A Rose               | 0          | 0.0104     | Fallback  
Williethebuilder          | 0          | 0.0091     | Fallback  
Rare Edition              | 0          | 0.0092     | Fallback  
Washington                | 1          | 0.0246     | Fallback  
