============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-18
Execution Time: 2026-01-17 18:01:20
Input File: Inference_Inputs\Input_2026-01-18.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 368
Missing Values (NaNs) found in key features (before zero-fill):
 - No missing values found. Data is clean.

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Anariza                   | 0          | 0.0079     | Fallback  
Lau And Shaz              | 0          | 0.0079     | Fallback  
Getawhisky                | 0          | 0.0079     | Fallback  
Hornica                   | 0          | 0.0079     | Fallback  
Yasmina                   | 0          | 0.0082     | Fallback  
Penn Avenue               | 0          | 0.0078     | Fallback  
Top Jimmy                 | 0          | 0.0078     | Fallback  
Scorpio Rising            | 0          | 0.0072     | Fallback  
Lisbane Park              | 0          | 0.0060     | Fallback  
Harry Lowes               | 0          | 0.0061     | Fallback  
Sixty Plus                | 0          | 0.0070     | Fallback  
Fresh Kicks               | 0          | 0.0075     | Fallback  
Fashion Hunter            | 0          | 0.0065     | Fallback  
Maldini Milano            | 0          | 0.0075     | Fallback  
Kel Du Large              | 0          | 0.0078     | Fallback  
Tyson                     | 0          | 0.0092     | Fallback  
Salver                    | 0          | 0.0178     | Fallback  
Wade Out                  | 0          | 0.0166     | Fallback  
Doyen Quest               | 0          | 0.0159     | Fallback  
Jeriko Du Reponet         | 0          | 0.0150     | Fallback  
Laurens Bay               | 0          | 0.0136     | Fallback  
Moon Rocket               | 0          | 0.0147     | Fallback  
Nells Son                 | 0          | 0.0078     | Fallback  
Mirabad                   | 0          | 0.0091     | Fallback  
Sans Bruit                | 0          | 0.0087     | Fallback  
Mighty Bandit             | 0          | 0.0082     | Fallback  
Harper's Brook            | 0          | 0.0080     | Fallback  
Hardy Du Seuil            | 0          | 0.0201     | Fallback  
Highlands Legacy          | 0          | 0.0083     | Fallback  
Torneo                    | 0          | 0.0079     | Fallback  
Dr T J Eckleburg          | 0          | 0.0078     | Fallback  
Botox Has                 | 0          | 0.0058     | Fallback  
Captain Teague            | 0          | 0.0169     | Fallback  
Lud'or                    | 0          | 0.0069     | Fallback  
Long Draw                 | 0          | 0.0074     | Fallback  
Nab Wood                  | 0          | 0.0066     | Fallback  
Green Book                | 0          | 0.0176     | Fallback  
Royal Rambler             | 0          | 0.0071     | Fallback  
Doughmore Bay             | 0          | 0.0069     | Fallback  
Keable                    | 0          | 0.0060     | Fallback  
Lord Snootie              | 0          | 0.0079     | Fallback  
Tranquil Sea              | 0          | 0.0064     | Fallback  
Minella Missile           | 0          | 0.0077     | Fallback  
Kap Boy                   | 0          | 0.0087     | Fallback  
Go To War                 | 0          | 0.0081     | Fallback  
Love Of Neymore           | 0          | 0.0085     | Fallback  
Spike Jones               | 0          | 0.0078     | Fallback  
Handstands                | 0          | 0.0067     | Fallback  
Matata                    | 0          | 0.0066     | Fallback  
Resplendent Grey          | 0          | 0.0065     | Fallback  
Eldorado Allen            | 0          | 0.0062     | Fallback  
Jungle Boogie             | 0          | 0.0063     | Fallback  
Protektorat               | 0          | 0.0067     | Fallback  
Holokea                   | 0          | 0.0180     | Fallback  
Yes Day                   | 0          | 0.0177     | Fallback  
Jupiter Des Bordes        | 0          | 0.0145     | Fallback  
Hudson De Grugy           | 0          | 0.0164     | Fallback  
Jacks Parrot              | 0          | 0.0168     | Fallback  
De Legislator             | 0          | 0.0147     | Fallback  
Enjoy d'Allen             | 0          | 0.0128     | Fallback  
Latenightrumble           | 0          | 0.0128     | Fallback  
Rockinastorm              | 0          | 0.0139     | Fallback  
Havaila                   | 0          | 0.0157     | Fallback  
Morfee                    | 0          | 0.0134     | Fallback  
Gold Clermont             | 0          | 0.0154     | Fallback  
Neo King                  | 0          | 0.0136     | Fallback  
Express Surprise          | 0          | 0.0142     | Fallback  
Special John              | 0          | 0.0140     | Fallback  
Gingerbred                | 0          | 0.0153     | Fallback  
Planned Paradise          | 0          | 0.0187     | Fallback  
Bass Hunter               | 0          | 0.0085     | Fallback  
Canty's Cove              | 0          | 0.0085     | Fallback  
Old Clayesmorian          | 0          | 0.0088     | Fallback  
Eustace Grenier           | 0          | 0.0108     | Fallback  
Lil Fortune               | 0          | 0.0159     | Fallback  
Sassella Storm            | 0          | 0.0085     | Fallback  
St James's Finest         | 0          | 0.0107     | Fallback  
Tally Ho Back             | 0          | 0.0087     | Fallback  
Ti'mamzel                 | 0          | 0.0090     | Fallback  
Ifallgoeswell             | 0          | 0.0214     | Fallback  
Green Chef                | 0          | 0.0137     | Fallback  
Campbell Black            | 0          | 0.0155     | Fallback  
King Of Westeros          | 0          | 0.0374     | Fallback  
Diamond Secret            | 0          | 0.0232     | Fallback  
Forty Coats               | 0          | 0.0262     | Fallback  
Hillberry Hill            | 0          | 0.0078     | Fallback  
Loyal Praetorian          | 0          | 0.0082     | Fallback  
Its All Yellow            | 0          | 0.0151     | Fallback  
La Tene                   | 0          | 0.0175     | Fallback  
Written In My Soul        | 0          | 0.0093     | Fallback  
American Jukebox          | 0          | 0.0225     | Fallback  
Daydream Nation           | 0          | 0.0140     | Fallback  
Espresso Milan            | 0          | 0.0847     | Fallback  
Long Branch               | 0          | 0.0092     | Fallback  
Sept Etoiles              | 0          | 0.0226     | Fallback  
Minella Emperor           | 0          | 0.0181     | Fallback  
Feud                      | 9          | 0.0564     | Lookup    
Jazzy Matty               | 0          | 0.0179     | Fallback  
Eachtotheirown            | 0          | 0.0189     | Fallback  
Immutable                 | 0          | 0.0085     | Fallback  
Black Bamboo              | 0          | 0.0078     | Fallback  
Chichester Park           | 0          | 0.0348     | Lookup    
Garrybello                | 0          | 0.0184     | Fallback  
Fiver Friday              | 0          | 0.0071     | Fallback  
Free Flow                 | 0          | 0.0105     | Fallback  
Piccolo Player            | 0          | 0.0075     | Fallback  
Someone's Wish            | 0          | 0.0241     | Fallback  
Shinnhill                 | 0          | 0.0237     | Fallback  
Harry's Dream             | 0          | 0.0107     | Fallback  
Ad Caelum                 | 0          | 0.0138     | Fallback  
Cottesloe Sunshine        | 0          | 0.0087     | Fallback  
Femme Magnifique          | 0          | 0.0074     | Fallback  
Jade De Grugy             | 0          | 0.0703     | Fallback  
Stormalong                | 0          | 0.0074     | Fallback  
Tareze                    | 0          | 0.0209     | Fallback  
Meet And Greet            | 0          | 0.0137     | Fallback  
Brave Fortune             | 0          | 0.0077     | Fallback  
Jigoro                    | 0          | 0.0079     | Fallback  
A Wave Of The Sea         | 0          | 0.0062     | Fallback  
Individualiste            | 0          | 0.0061     | Fallback  
Lisleigh Lad              | 0          | 0.0069     | Fallback  
Rising Dust               | 0          | 0.0209     | Fallback  
Battle Of Mirbat          | 0          | 0.0075     | Fallback  
Grange Walk               | 0          | 0.0070     | Fallback  
Littlebiggie              | 0          | 0.0137     | Fallback  
Midweek Voices            | 0          | 0.0085     | Fallback  
That's About Right        | 0          | 0.0220     | Fallback  
Mount Frisco              | 0          | 0.0170     | Fallback  
Hascoeur Clermont         | 0          | 0.0112     | Fallback  
Appreciate It             | 0          | 0.0684     | Fallback  
Hercule Du Seuil          | 0          | 0.0182     | Fallback  
Gentleman De Mee          | 0          | 0.0176     | Fallback  
James Du Berlais          | 0          | 0.0369     | Fallback  
Monbeg Park               | 0          | 0.0163     | Fallback  
Big Interest              | 0          | 0.0067     | Fallback  
Solitary Man              | 0          | 0.0147     | Fallback  
Bartlemy Boy              | 1          | 0.1278     | Lookup    
Last Round                | 0          | 0.0288     | Fallback  
Lifetime Ambition         | 0          | 0.0066     | Fallback  
The Rebel County          | 0          | 0.0128     | Fallback  
Willitgoahead             | 0          | 0.0186     | Fallback  
Bold Fury                 | 0          | 0.0070     | Fallback  
Catalani                  | 0          | 0.0170     | Fallback  
Fakiera                   | 0          | 0.0118     | Fallback  
Panda Boy                 | 0          | 0.0072     | Fallback  
Sampoet                   | 0          | 0.0064     | Fallback  
Temptationinmilan         | 0          | 0.0063     | Fallback  
