horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Macho Man,13/8,7/4,9/5,2/1,13/8,stable
Proactif,15/8,2/1,9/4,5/2,9/4,drifting
Quinta Do Lago,15/2,8/1,17/2,8/1,17/2,drifting
Combs,12/1,14/1,16/1,14/1,16/1,drifting
Far Eclipse,400/1,500/1,400/1,500/1,450/1,drifting
It's Bobsled Time,80/1,90/1,80/1,70/1,66/1,shortening
Munsif,9/2,4/1,9/2,4/1,7/2,shortening
In My Teens,40/1,30/1,33/1,28/1,33/1,shortening
Alliteration,11/1,14/1,12/1,22/1,16/1,drifting
Annie's Belle,150/1,200/1,250/1,200/1,150/1,stable
Bambino Fever,1/10,1/9,1/8,1/9,1/8,stable
Castlerock Lady,200/1,250/1,300/1,250/1,200/1,stable
Cornelienne,7/2,9/2,4/1,7/2,4/1,drifting
Family Getaway,33/1,50/1,40/1,50/1,40/1,drifting
Lady Victrix,200/1,250/1,300/1,250/1,200/1,stable
Little Ivy,66/1,80/1,100/1,80/1,100/1,drifting
Miss Doyenne,-,6/1,13/2,6/1,13/2,drifting
Miss Georgina,66/1,80/1,100/1,80/1,125/1,drifting
Ode To Joy,250/1,500/1,300/1,250/1,300/1,drifting
Scathach,66/1,80/1,100/1,80/1,66/1,stable
Tellmemamema,200/1,250/1,300/1,250/1,200/1,stable
Minella Sixo,10/1,11/1,10/1,11/1,10/1,stable
Noble Birth,28/1,30/1,28/1,25/1,22/1,shortening
Bal Kauto,9/2,4/1,9/2,4/1,9/2,stable
Find A Fortune,16/1,18/1,16/1,18/1,16/1,stable
Verdant Place,13/2,7/1,13/2,7/1,15/2,drifting
Found A Diamond,9/2,4/1,10/3,3/1,16/5,shortening
The Lovely Man,-,5/2,11/4,5/2,11/4,drifting
Dippedinmoonlight,5/1,11/2,5/1,11/2,5/1,stable
From The Ashes,7/2,4/1,15/4,4/1,7/2,stable
Your Honor,66/1,50/1,66/1,50/1,66/1,stable
Blood Destiny,4/1,9/2,4/1,9/2,4/1,stable
Touch Me Not,9/2,4/1,9/2,4/1,9/2,stable
Inthepocket,6/1,13/2,7/1,13/2,7/1,drifting
Tullyhill,10/1,11/1,12/1,11/1,12/1,drifting
Path d'Oroux,14/1,12/1,14/1,12/1,14/1,stable
The Other Mozzie,16/1,14/1,16/1,18/1,20/1,drifting
Drumgill,18/1,16/1,14/1,12/1,11/1,shortening
Midnight It Is,25/1,28/1,33/1,28/1,22/1,shortening
The King Of Prs,14/1,12/1,11/1,12/1,11/1,shortening
Western Diego,9/2,4/1,9/2,4/1,7/2,shortening
St Faz,22/1,20/1,22/1,20/1,22/1,stable
More Coko,12/1,14/1,16/1,18/1,16/1,drifting
Dr Eggman,11/1,10/1,11/1,10/1,11/1,stable
Jinxs Link,125/1,150/1,100/1,,,shortening
Koori Star,8/1,17/2,9/1,10/1,9/1,drifting
Park Of Kings,28/1,25/1,28/1,33/1,35/1,drifting
Port Joulain,85/40,2/1,9/4,2/1,9/4,stable
Reliable Prince,125/1,100/1,,,,shortening
Stuntman Steve,20/1,18/1,20/1,18/1,14/1,shortening
Karoline Banbou,5/6,4/5,5/6,10/11,5/6,stable
Choccabloc,12/1,14/1,16/1,14/1,12/1,stable
Jacovec Cavern,15/2,7/1,15/2,7/1,13/2,shortening
Miss Pronunciation,4/1,9/2,5/1,11/2,6/1,drifting
Castle Field Boy,16/1,18/1,16/1,18/1,20/1,drifting
Darcy's Friend,5/1,9/2,5/1,9/2,5/1,stable
Me Wee Bonnie Lass,6/1,11/2,6/1,11/2,6/1,stable
Beggars Rock,14/1,12/1,11/1,8/1,15/2,shortening
Nelson County,5/2,9/4,5/2,9/4,5/2,stable
Attaboyarchie,18/1,20/1,22/1,25/1,28/1,drifting
Clonsast,-,200/1,250/1,200/1,150/1,shortening
Detroit Maverick,7/2,10/3,7/2,10/3,7/2,stable
Dorie Miller,110/1,125/1,110/1,100/1,125/1,drifting
Martymill,18/1,16/1,14/1,20/1,16/1,shortening
Moments Away,12/1,14/1,12/1,11/1,10/1,shortening
Pinndar,9/4,12/5,5/2,11/4,5/2,drifting
Silver Salute,50/1,66/1,80/1,100/1,80/1,drifting
The Wager,11/10,Evs,11/10,Evs,11/10,stable
Layenda,250/1,200/1,250/1,300/1,250/1,stable
Orinoco Walk,200/1,250/1,200/1,150/1,200/1,stable
Sober Glory,2/13,1/6,2/11,1/5,2/9,drifting
Colby Mayfield,150/1,400/1,150/1,200/1,250/1,drifting
Dutch Corner,11/2,6/1,80/1,25/1,12/1,drifting
Into Battle,40/1,50/1,80/1,150/1,80/1,drifting
It's Top,12/1,14/1,66/1,22/1,16/1,drifting
Lheur De Gloire,50/1,66/1,200/1,100/1,66/1,drifting
Mescalero,25/1,28/1,33/1,100/1,33/1,drifting
Spanish Dancer,40/1,50/1,250/1,125/1,66/1,drifting
Urban Isle,450/1,350/1,150/1,125/1,150/1,shortening
Harley's Pride,100/1,125/1,350/1,125/1,150/1,drifting
Yeld To Call,18/1,100/1,20/1,66/1,28/1,drifting
North Of Richmond,100/1,8/1,7/1,11/2,5/1,shortening
Bamber,66/1,80/1,66/1,80/1,66/1,stable
Bespoke Tailor,66/1,80/1,66/1,80/1,66/1,stable
Bushstreet Bowman,150/1,450/1,300/1,150/1,200/1,drifting
Fire Warning,4/5,5/6,10/11,Evs,10/11,drifting
Gulf Coast Highway,150/1,450/1,300/1,450/1,300/1,drifting
Jacquetta,200/1,150/1,125/1,150/1,125/1,shortening
Lejo Du Seuil,100/1,50/1,66/1,70/1,66/1,shortening
Painted Wolf,300/1,350/1,300/1,400/1,300/1,stable
Mc'flo,300/1,400/1,250/1,400/1,300/1,stable
Square d'Alboni,100/1,125/1,100/1,125/1,100/1,stable
Apollon Forlonge,450/1,5/6,Evs,5/6,100/1,shortening
Callero,100/1,125/1,150/1,125/1,150/1,drifting
Da Little Lion Man,33/1,40/1,66/1,40/1,33/1,stable
Feel Gut,-,Evs,,,,no_data
Matiwo,2/1,15/8,2/1,9/5,7/4,shortening
Pink 'n Purple,33/1,50/1,33/1,66/1,33/1,stable
Sixty's Rock,9/2,5/1,13/2,100/1,33/1,drifting
Clear Sky,28/1,33/1,66/1,33/1,28/1,stable
Lets Go Mo,-,12/1,14/1,16/1,14/1,drifting
Mya Du Clos,80/1,100/1,200/1,100/1,200/1,drifting
Buckna,11/4,3/1,11/4,3/1,16/5,drifting
Muskoka,7/1,13/2,7/1,15/2,17/2,drifting
Top Target,4/1,7/2,10/3,3/1,11/4,shortening
Aviation,-,7/1,15/2,7/1,13/2,shortening
Awaythelad,18/1,16/1,14/1,16/1,18/1,stable
Gold In The Rivers,10/1,9/1,10/1,9/1,10/1,stable
Sheldon,28/1,25/1,28/1,33/1,28/1,stable
Taita Hills,16/1,14/1,16/1,14/1,12/1,shortening
Captain Boudet,17/2,8/1,9/1,17/2,9/1,drifting
