URL,horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910489,Itsinthename,7/2,10/3,7/2,10/3,7/2,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910489,Le Cold Grey,10/3,7/2,4/1,7/2,10/3,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910489,My Mate AJ,Evs,10/11,Evs,11/10,6/5,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910489,Kings Wardrobe,33/1,28/1,33/1,40/1,33/1,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910489,Moscow Star,12/1,11/1,10/1,11/1,10/1,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910489,Broken Vow,10/1,15/2,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Blazing Gaden,150/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Bluey Bay,100/1,80/1,100/1,,,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Fravanco,100/1,50/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Gone Country,100/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Hello Fortune,12/1,11/1,14/1,,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Holeheartedly,12/1,10/1,7/1,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Jamada,7/1,13/2,6/1,7/1,,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Knight Templar,33/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Sense Of Reason,33/1,20/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Somkiyr,150/1,100/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Trapper John,28/1,33/1,,,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Unjeu Royal,11/2,5/1,11/2,5/1,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Wondering Why,3/1,11/4,3/1,11/4,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Zamek,9/4,5/2,10/3,7/2,15/4,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Connies Hill,80/1,100/1,150/1,100/1,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Cayman Dancer,6/1,7/2,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Kentucky River,12/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910484,Shifra,200/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910483,Makin'yourmindup,14/1,12/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910483,Art Decco,15/2,7/1,15/2,7/1,13/2,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910483,Surrey Quest,9/1,10/1,9/1,10/1,9/1,stable
