track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Billboa,84,Adam Browne-Souza,W P Browne,9- 6,6,7,True,0.2986468
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Clonmacash,89,Rory Cleary,Adrian McGuinness,9- 4,5,0,True,0.23043446
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Old Peculier,85,Joseph Harnett,Mark Fahey,10- 3,7,7,True,0.22861928
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Flanker Jet,89,Donagh O'Connor,Robson De Aguiar,9- 8,3,0,True,0.15987243
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Hell Left Loose,60,Nicola Burns,Denis Gerard Hogan,9- 5,10,5,True,0.14960395
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Wandering Rocks,82,Jamie Orr,William Durkan,9 -11,7,7,True,0.13216081
Dundalk (AW),9 Jan 2026Polytrack,1m2½f,Standard,Yutori,78,Scott McCullagh,Daniel McLoughlin,9- 4,4,0,True,0.12015904
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Woolridge,83,Julian Pietropaolo,A Oliver,8 -13,4,4,True,0.1173998
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Benavente,85,Reese Holohan,Denis Gerard Hogan,9- 7,8,7,True,0.110499784
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Mehman,85,Reese Holohan,Denis Gerard Hogan,10- 0,7,7,True,0.10491712
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Charm Of Venice,40,Nicola Burns,A Oliver,9- 3,3,5,True,0.08884907
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Pavilion End,85,Keithen Kennedy,Charles O'Brien,9 -11,6,0,True,0.08883776
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Endless Dawn,65,Rory Cleary,Adrian McGuinness,8 -13,4,0,True,0.08091114
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Jered Maddox,87,Rebecca Parsons,David Marnane,9- 9,10,7,True,0.07715765
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Hale Bopp,63,Patrick McGettigan,R Donohoe,9- 4,8,7,True,0.072124824
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Morning Approach,61,Nathan Crosse,W McCreery,9 -13,8,0,True,0.06192145
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Sporting Hero,87,Darragh O'Sullivan,Denis Gerard Hogan,9- 8,6,4,True,0.060576778
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Marbush,64,Nicola Burns,Denis Gerard Hogan,9 -10,4,5,True,0.060242906
