track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Jacovec Cavern,122,Richard Condon,Paul Hennessy,12- 0,7,5,True,0.13666423
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Midnight It Is,152,Sean Flanagan,Gavin Cromwell,10- 9,10,0,True,0.08861514
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Inthepocket,157,Mark Walsh,Henry De Bromhead,11- 9,9,0,True,0.07778214
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Tellmemamema,94,Kieren Buckley,Edward Buckley,11- 7,6,0,True,0.060041197
Fairyhouse,10 Jan 2026,3m,Yielding,1:05,Noble Birth,135,Keith Donoghue,Gavin Cromwell,11- 7,9,0,True,0.053745903
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Berto Ramirez,110,Brian Hayes,Andrew McNamara,11- 0,4,0,True,0.05357089
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Castlerock Lady,-,Alix Balfe,Patrick Downey,11- 7,7,7,True,0.052317046
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Family Getaway,69,Jack Kennedy,Gordon Elliott,11- 7,5,0,True,0.048650723
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Talas Kera,98,Patrick M O'Brien,John G Carr,11- 7,5,5,True,0.044589125
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Susie Lenglen,107,Sam Ewing,Noel Meade,11- 7,5,0,True,0.03827002
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Whispering Hopes,117,Mr E P Powell,Liam Lennon,11- 7,6,7,True,0.03637302
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Alliteration,-,Keith Donoghue,J P Dempsey,11- 7,5,0,True,0.034501288
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Silver Salute,-,Mr J Dunne,Ian Patrick Donoghue,12- 0,7,7,True,0.03303738
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Miss Doyenne,119,Darragh O'Keeffe,Henry De Bromhead,11- 7,6,0,True,0.03266933
Fairyhouse,10 Jan 2026,3m,Yielding,1:05,Minella Sixo,133,Paddy Cleary,Gordon Elliott,12- 1,7,7,True,0.03203579
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Nelson County,118,Danny Gilligan,Ross O'Sullivan,11- 9,6,0,True,0.032002073
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Attaboyarchie,121,Miss E J Sweeney,Karl Thornton,10 -13,9,7,True,0.031839345
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Doctor Elvis,-,Mr J M Halford,Gordon Elliott,12- 0,7,7,True,0.031535402
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Clonsast,-,Miss Georgie Benson,Peter John Flood,12- 0,6,7,True,0.031257097
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Detroit Maverick,-,Mr H C Swan,Gordon Elliott,12- 0,6,0,True,0.030886535
Fairyhouse,10 Jan 2026,3m,Yielding,1:05,Bal Kauto,131,Mr D L Queally,Declan Queally,11- 2,9,0,True,0.029505825
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,It's Bobsled Time,118,Michael Kenneally,Richard Morrissey,11- 0,4,7,True,0.028140433
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Ode To Joy,-,Liam McKenna,William J McLernon,11- 7,6,5,True,0.028105505
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Choccabloc,128,Brian Hayes,Andrew McNamara,12- 0,8,0,True,0.02623749
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Stuntman Steve,-,Keith Donoghue,Gavin Cromwell,11 -12,7,0,True,0.025030682
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Little Ivy,92,Danny Gilligan,Peter Fahey,11- 7,6,0,True,0.024505917
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Pinndar,-,Mr Derek O'Connor,Thomas Cooper,12- 0,5,0,True,0.023571858
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Bambino Fever,132,Paul Townend,W P Mullins,11- 7,6,0,True,0.02314666
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Lake Isle,-,Mr J P O'Rourke,C A Murphy,11- 7,5,7,True,0.021911364
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Miss Pronunciation,119,Mark Walsh,Padraig Roche,11 -13,9,0,True,0.021711214
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Me Wee Bonnie Lass,127,Keith Donoghue,Gavin Cromwell,11 -10,7,0,True,0.021684522
