Race_id,Predicted_Winner,Actual_Winner,Hit
Chelmsford (AW)_2026-01-11_1:42,What What What,Gogo Yubari,0
Chelmsford (AW)_2026-01-11_2:12,Man On A Mission,Waistcoat,0
Chelmsford (AW)_2026-01-11_2:42,Three On Thursday,Seraphic,0
Chelmsford (AW)_2026-01-11_3:12,Come To Pass,Marinakis,0
Chelmsford (AW)_2026-01-11_4:12,Diligent Henry,Campani,0
Chelmsford (AW)_2026-01-11_4:42,Miners Gamble,Al Waqidi,0
Fontwell_2026-01-11_1:00,Roi Lion,Legendary Luke,0
Fontwell_2026-01-11_2:00,Aj's Diamond,Limerick Lass,0
Fontwell_2026-01-11_2:30,Khutulun Khan,Park Princess,0
Fontwell_2026-01-11_3:00,Smith,Mr Griffiths,0
Fontwell_2026-01-11_3:30,Alright Dai,Alright Dai,1
Fontwell_2026-01-11_4:00,I Play County,Bradman,0
Punchestown_2026-01-11_12:20,Banter At The Bar,Banter At The Bar,1
Punchestown_2026-01-11_12:50,Predators Gold,Kappa Jy Pyke,0
Punchestown_2026-01-11_1:20,Tullabrack Lad,Diamond Dollar,0
Punchestown_2026-01-11_1:50,Nine Graces,Showurappreciation,0
Punchestown_2026-01-11_2:20,Sober,Sober,1
Punchestown_2026-01-11_3:20,Moon Mission,Powerful,0
Sha Tin_2026-01-11_4:30,I P O Bros,Snowthorn,0
Sha Tin_2026-01-11_5:00,Circuit Happy,Majestic Valour,0
Sha Tin_2026-01-11_5:30,Ka Ying Warrior,Elite Golf,0
Sha Tin_2026-01-11_6:00,Rainbow Warrior,Rezeki,0
Sha Tin_2026-01-11_6:30,Manaphy,Robot Star,0
Sha Tin_2026-01-11_7:00,Our Lucky Glory,China Win,0
Sha Tin_2026-01-11_7:35,Let's Have Fun,Young Emperor,0
Sha Tin_2026-01-11_8:05,Beauty Crescent,Little Paradise,0
Sha Tin_2026-01-11_8:40,Joy Of Spring,Money Catcher,0
Sha Tin_2026-01-11_9:15,Natural Numbers,Invincible Ibis,0
Sha Tin_2026-01-11_9:50,Golden Empire,Lucky Sam Gor,0
