Race_id,Predicted_Winner,Actual_Winner,Prediction_Hit,Bet_Placed,Bet_Won,Total_Staked,Money_Made
Fakenham_2026-01-18_12:30,Lord Of The Glance,Belcamo,0,0,0,0.0,0.0
Fakenham_2026-01-18_1:00,Apieceovfortune,Apieceovfortune,1,0,0,0.0,0.0
Fakenham_2026-01-18_1:30,Clay Pigeons,King Jon Oliver,0,1,0,7.188963053416738,-7.188963053416738
Fakenham_2026-01-18_2:05,Pretending,Miss Cynthia,0,0,0,0.0,0.0
Fakenham_2026-01-18_2:40,Belle Montrose,Belle Montrose,1,0,0,0.0,0.0
Fakenham_2026-01-18_3:10,Little Wren,Little Wren,1,0,0,0.0,0.0
Fakenham_2026-01-18_3:45,Lultimatom,Eastern Fire,0,1,0,0.1584927122173285,-0.1584927122173285
Sha Tin_2026-01-18_4:30,Fury And Gold,Super Hong Kong,0,0,0,0.0,0.0
Sha Tin_2026-01-18_5:00,Sea Chariot,Cool Boy,0,0,0,0.0,0.0
Sha Tin_2026-01-18_5:30,Tactical Victory,City Gold Banner,0,0,0,0.0,0.0
Sha Tin_2026-01-18_6:05,Raging Rapids,Lucky Twin Stars,0,0,0,0.0,0.0
Sha Tin_2026-01-18_6:35,Flying Christie,Hot Delight,0,0,0,0.0,0.0
Sha Tin_2026-01-18_7:05,Amazing Fun,Amazing Partners,0,0,0,0.0,0.0
Sha Tin_2026-01-18_7:35,Flow Water Flow,Flow Water Flow,1,0,0,0.0,0.0
Sha Tin_2026-01-18_8:05,Danica's Choice,Pegas,0,0,0,0.0,0.0
Sha Tin_2026-01-18_8:40,Forza Toro,Emblazon,0,0,0,0.0,0.0
Sha Tin_2026-01-18_9:15,Flying Fortress,Akashvani,0,0,0,0.0,0.0
Sha Tin_2026-01-18_9:50,Fivefortwo,Patch Of Cosmo,0,0,0,0.0,0.0
Sharjah_2026-01-18_12:30,Gabooll,Morning,0,0,0,0.0,0.0
Thurles_2026-01-18_12:40,King Of Westeros,Hillberry Hill,0,1,0,7.311666973255714,-7.311666973255714
Thurles_2026-01-18_1:10,Espresso Milan,Espresso Milan,1,0,0,0.0,0.0
Thurles_2026-01-18_1:40,Feud,Eachtotheirown,0,1,0,3.8086515903884464,-3.8086515903884464
Thurles_2026-01-18_2:15,Jade De Grugy,Jade De Grugy,1,1,0,2.114780623203588,-2.114780623203588
Thurles_2026-01-18_2:50,That's About Right,Rising Dust,0,1,0,1.5970616482190267,-1.5970616482190267
Thurles_2026-01-18_3:20,Appreciate It,Appreciate It,1,0,0,0.0,0.0
Thurles_2026-01-18_3:55,Bartlemy Boy,Panda Boy,0,1,0,6.71097610346599,-6.71097610346599
Windsor_2026-01-18_12:20,Yasmina,Getawhisky,0,1,0,1.0841411033854098,-1.0841411033854098
Windsor_2026-01-18_12:50,Tyson,Scorpio Rising,0,1,0,0.4416096658845614,-0.4416096658845614
Windsor_2026-01-18_1:20,Salver,Salver,1,0,0,0.0,0.0
Windsor_2026-01-18_1:50,Hardy Du Seuil,Highlands Legacy,0,0,0,0.0,0.0
Windsor_2026-01-18_2:25,Green Book,Go To War,0,1,0,1.206646538884561,-1.206646538884561
Windsor_2026-01-18_3:00,Handstands,Protektorat,0,0,0,0.0,0.0
Windsor_2026-01-18_3:35,Planned Paradise,Neo King,0,1,0,4.922261906443492,-4.922261906443492
Windsor_2026-01-18_4:05,Lil Fortune,St James's Finest,0,1,0,2.220093220365919,-2.220093220365919
