combo_index,indices,names,tracks,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
0,"(53, 54, 55, 168)",The Store Boy|True Destiny|Strutter|Parliamo,Fairyhouse|Fairyhouse|Fairyhouse|Ludlow,0.21440212436594175,23.75,247.54772251323075,262.5477225132307,2304.631937559493,0.1074131267899434,L15_STRONG
1,"(53, 54, 55, 56)",The Store Boy|True Destiny|Strutter|Swing Davis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,8.75,32.10639929062211,47.10639929062211,279.90550370090165,0.11470442297887079,L15_STRONG
2,"(53, 54, 55, 57)",The Store Boy|True Destiny|Strutter|Roc Dino,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,10.75,60.83190905363659,75.8319090536366,545.8216826669347,0.11145015118565153,L15_STRONG
3,"(53, 54, 55, 58)",The Store Boy|True Destiny|Strutter|Sticwiththeprocess,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,7.875,19.53898876930327,34.53898876930327,168.95952826344094,0.1156430120877123,L15_STRONG
4,"(53, 54, 55, 0)",The Store Boy|True Destiny|Strutter|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.21440212436594175,7.65625,16.39713613897356,31.39713613897356,143.16942441850853,0.11452959460842665,L15_STRONG
5,"(53, 54, 55, 59)",The Store Boy|True Destiny|Strutter|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,11.75,75.19466393514384,90.19466393514384,680.353096513506,0.11052299801453334,L15_STRONG
6,"(53, 54, 55, 60)",The Store Boy|True Destiny|Strutter|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,57.25,728.7000110437234,743.7000110437234,6846.7883630969245,0.10642946333368473,L15_STRONG
7,"(53, 54, 55, 61)",The Store Boy|True Destiny|Strutter|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,8.125,23.12967748968008,38.129677489680084,199.75557612769217,0.11578989652281155,L15_STRONG
8,"(53, 54, 55, 62)",The Store Boy|True Destiny|Strutter|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.21440212436594175,34.75,405.53802620981037,420.53802620981037,3795.862323008647,0.10683686385347506,L15_STRONG
9,"(53, 54, 168, 56)",The Store Boy|True Destiny|Parliamo|Swing Davis,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,24.0,248.1926178868368,263.19261788683684,2437.175300367259,0.10183617807444405,L15_STRONG
10,"(53, 54, 168, 57)",The Store Boy|True Destiny|Parliamo|Roc Dino,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,26.0,405.9485035139722,420.9485035139722,4739.0095045161015,0.08566104438640991,L15_CANDIDATE
11,"(53, 54, 168, 58)",The Store Boy|True Destiny|Parliamo|Sticwiththeprocess,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,23.125,179.1744179249651,194.17441792496513,1477.4667215650668,0.12127137302636996,L15_STRONG
12,"(53, 54, 168, 0)",The Store Boy|True Destiny|Parliamo|Global Effort,Fairyhouse|Fairyhouse|Ludlow|Chelmsford (AW),0.2081022002725695,22.90625,161.91986793449718,176.91986793449718,1254.4698888470748,0.12907433599965498,L15_STRONG
13,"(53, 54, 168, 59)",The Store Boy|True Destiny|Parliamo|Giant Haystacks,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,27.0,484.8264463275398,499.8264463275398,5903.845977306206,0.08212044287590907,L15_CANDIDATE
14,"(53, 54, 168, 60)",The Store Boy|True Destiny|Parliamo|Noemie De La Vis,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,72.5,4073.772844344869,4088.772844344869,59306.37845658395,0.06869029858781767,L15_CANDIDATE
15,"(53, 54, 168, 61)",The Store Boy|True Destiny|Parliamo|Onlymammycanloveme,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,23.375,198.89390362835704,213.89390362835704,1743.786659060026,0.11405862213418307,L15_STRONG
16,"(53, 54, 168, 62)",The Store Boy|True Destiny|Parliamo|I Am Lorenzo,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.2081022002725695,50.0,2299.0191310395962,2314.0191310395962,32884.362334868885,0.06991223085392885,L15_CANDIDATE
17,"(53, 54, 56, 57)",The Store Boy|True Destiny|Swing Davis|Roc Dino,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,11.0,61.01991501408091,76.01991501408091,577.4074704349802,0.10567912286987313,L15_STRONG
18,"(53, 54, 56, 58)",The Store Boy|True Destiny|Swing Davis|Sticwiththeprocess,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,8.125,19.625951878759896,34.6259518787599,178.95522859358624,0.10966961978703141,L15_STRONG
19,"(53, 54, 56, 0)",The Store Boy|True Destiny|Swing Davis|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.2081022002725695,7.90625,16.476411205420252,31.476411205420252,151.69204927406977,0.10861750028606627,L15_STRONG
20,"(53, 54, 56, 59)",The Store Boy|True Destiny|Swing Davis|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,12.0,75.41781523506214,90.41781523506214,719.6574641709188,0.10479682208527803,L15_STRONG
21,"(53, 54, 56, 60)",The Store Boy|True Destiny|Swing Davis|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,57.5,730.5222752897079,745.5222752897079,7240.106945082062,0.10089937632563904,L15_STRONG
22,"(53, 54, 56, 61)",The Store Boy|True Destiny|Swing Davis|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,8.375,23.225426934005203,38.2254269340052,211.51118339649994,0.10980708708185277,L15_STRONG
23,"(53, 54, 56, 62)",The Store Boy|True Destiny|Swing Davis|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,35.0,406.5695203176303,421.5695203176303,4014.019276195002,0.10128738611913907,L15_STRONG
24,"(53, 54, 57, 58)",The Store Boy|True Destiny|Roc Dino|Sticwiththeprocess,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,10.125,40.89908068492059,55.89908068492059,349.5291787208996,0.11701192110653132,L15_STRONG
