track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Theroadtoserfdom (IRE),L T McAteer,0,B W Duke,10th,5 1/2 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Monvoe (IRE),B M Coen,0,R P Cody,9th,5 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Swinging The World (IRE),J J G Ryan,3,J Davison,8th,Neck,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Mr Kobe (IRE),C Geerdharry,7,D Dias,7th,1 1/2 l,2,9-7h,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Estoublon (IRE),D McMonagle,0,J P O'Brien,6th,1 3/4 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Monocle Rocket (IRE),W J Lee,0,H De Bromhead,5th,5 l,2,9-7p1,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Jordi Bear (IRE),J A Heffernan,0,J A Stack,4th,4 1/4 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Seoul Force (IRE),S Foley,0,Mrs J Harrington,3rd,Neck,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Melismatic (IRE),D P McDonogh,0,J P O'Brien,2nd,2 1/2 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Daytona (IRE),J Cleary,5,A P O'Brien,1st,N/A,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Theroadtoserfdom (IRE),L T McAteer,0,B W Duke,10th,5 1/2 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Monvoe (IRE),B M Coen,0,R P Cody,9th,5 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Swinging The World (IRE),J J G Ryan,3,J Davison,8th,Neck,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Mr Kobe (IRE),C Geerdharry,7,D Dias,7th,1 1/2 l,2,9-7h,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Estoublon (IRE),D McMonagle,0,J P O'Brien,6th,1 3/4 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Monocle Rocket (IRE),W J Lee,0,H De Bromhead,5th,5 l,2,9-7p1,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Jordi Bear (IRE),J A Heffernan,0,J A Stack,4th,4 1/4 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Seoul Force (IRE),S Foley,0,Mrs J Harrington,3rd,Neck,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Melismatic (IRE),D P McDonogh,0,J P O'Brien,2nd,2 1/2 l,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 13:55,N/A,13:55,Soft,7f,Daytona (IRE),J Cleary,5,A P O'Brien,1st,N/A,2,9-7,-,True,1,1
Gowran Park Racing Results | 15th June 2025 14:30,N/A,14:30,Soft,7f,Ethereal Star (IRE),C D Hayes,0,M Hassett,11th,5 1/2 l,3,8-12,54,True,1,2
Gowran Park Racing Results | 15th June 2025 14:30,N/A,14:30,Soft,7f,Boyne Valley (IRE),W Joyce,3,M Mulvany,10th,2 1/2 l,3,9-10,66,True,1,2
Gowran Park Racing Results | 15th June 2025 14:30,N/A,14:30,Soft,7f,Givehertilxmas (IRE),J A Heffernan,0,G Keane,9th,1/2 l,3,9-6,62,True,1,2
Gowran Park Racing Results | 15th June 2025 14:30,N/A,14:30,Soft,7f,Kilgharrahs Love (IRE),R P Cleary,0,T Cleary,8th,3/4 l,3,8-7,48,True,1,2
Gowran Park Racing Results | 15th June 2025 14:30,N/A,14:30,Soft,7f,Lovely (IRE),C Geerdharry,7,D Dias,7th,Nose,3,10-2,72,True,1,2
Gowran Park Racing Results | 15th June 2025 14:30,N/A,14:30,Soft,7f,Bamako (IRE),B M Coen,0,A Oliver,6th,3 l,3,9-0v,56,True,1,2
