track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch,label
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Monnow Valley,D. W. O'Connor,0,Damian Joseph English,9.0,2 3/4 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Segomo (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,8.0,1 3/4 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,He's Justagent (IRE),William James Lee,0,A. McIntyre,7.0,3/4 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Arabian Legend (IRE),A. J. Slattery,0,J. A. Stack,6.0,1/2 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Grey Fable (IRE),R. C. Colgan,0,Ms Sheila Lavery,5.0,1 3/4 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Dubawi Spectre,Shane Foley,0,Mrs J. Harrington,4.0,Short Head,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Shadowed (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,3.0,1 3/4 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Auguste Rodin (IRE),Ryan Moore,0,Aidan O'Brien,2.0,2 1/4 l,2,9-5,-,True,1,1,0
Curragh Racing Results | 1st June 2022 17:10,,17:10,Good  (Turf),7f,Crypto Force,C. T. Keane,0,M. D. O'Callaghan,1.0,,2,9-5,-,True,1,1,1
Curragh Racing Results | 1st June 2022 17:45,,17:45,Good,6f,Kodi Noir (IRE),J. M. Sheridan,3,Adrian Murray,5.0,2 l,2,9-5,-,True,1,2,0
Curragh Racing Results | 1st June 2022 17:45,,17:45,Good,6f,Vega Raider,Shane Foley,0,Mrs J. Harrington,4.0,3 1/4 l,2,9-5,-,True,1,2,0
Curragh Racing Results | 1st June 2022 17:45,,17:45,Good,6f,News At Ten,R. P. Cleary,0,M. D. O'Callaghan,3.0,4 1/2 l,2,9-5,-,True,1,2,0
Curragh Racing Results | 1st June 2022 17:45,,17:45,Good,6f,New Image,C. T. Keane,0,G. M. Lyons,2.0,4 l,2,9-5,-,True,1,2,0
Curragh Racing Results | 1st June 2022 17:45,,17:45,Good,6f,Age of Kings (IRE),Ryan Moore,0,Aidan O'Brien,1.0,,2,9-5,-,True,1,2,1
Curragh Racing Results | 1st June 2022 18:15,,18:15,Good (Good To Firm In Places),1m 4f,Kayleigh Grace (IRE),C. Horgan,7,Ronald O'Neill,14.0,21 l,3,9-3,-,True,1,3,0
Curragh Racing Results | 1st June 2022 18:15,,18:15,Good (Good To Firm In Places),1m 4f,Butterfly Rose (IRE),Seamie Heffernan,0,Aidan O'Brien,13.0,19 l,3,9-3t1,-,True,1,3,0
Curragh Racing Results | 1st June 2022 18:15,,18:15,Good (Good To Firm In Places),1m 4f,Rockabill Angel,D. B. McMonagle,0,Joseph Patrick O'Brien,12.0,1 3/4 l,3,9-3,-,True,1,3,0
Curragh Racing Results | 1st June 2022 18:15,,18:15,Good (Good To Firm In Places),1m 4f,Circus Act (IRE),N. P. O'Sullivan,10,James A. Nash,11.0,2 1/2 l,3,9-3,-,True,1,3,0
Curragh Racing Results | 1st June 2022 18:15,,18:15,Good (Good To Firm In Places),1m 4f,Ysobel (IRE),K. J. Manning,0,Eddie & Patrick Harty,10.0,4 3/4 l,3,9-3,-,True,1,3,0
